Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,413.36,,,,-11.5%,-3.7%,+10.7%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,407.08,,,,+23.3%,+10.1%,+66.4%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,420.04,,,,+38.2%,+1.4%,+73.1%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,427.76,,,,+23.6%,+3.7%,+40.8%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,223.96,,,,+20.1%,+5.9%,+23.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,592.1,,,,-10.3%,-4.0%,-22.3%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,274.48,,,,+18.9%,+1.2%,+23.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,357.52,,,,+11.0%,+16.7%,+24.6%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,127.44,,,,-12.0%,-0.3%,-9.7%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,215.33,,,,+0.5%,+10.0%,-6.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,70.85,,,,-16.1%,-11.4%,-1.0%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,346.8,,,,-48.5%,-30.5%,-20.7%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,230.47,,,,+3.2%,+37.0%,-17.6%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1041.4,,,,-38.4%,-7.7%,-21.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,353.47,,,,+12.6%,-10.6%,+79.2%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,877.57,,,,+207.5%,+35.7%,+684.5%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,93.29,,,,-17.5%,+22.3%,-16.1%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1225.25,,,,-7.9%,-1.3%,-8.4%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,370.08,,,,+20.1%,+22.3%,+36.0%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,311.35,,,,+81.9%,+8.7%,+214.0%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,216.26,,,,-4.5%,+26.2%,-20.2%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,75.02,,,,-8.2%,-2.2%,-19.0%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1185.71,,,,+10.3%,+21.6%,+85.0%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,499.99,,,,+3.4%,+18.8%,-4.0%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,362.5,,,,+3.4%,+12.8%,+9.2%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,137.13,,,,-11.0%,+12.1%,-18.2%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,214.42,,,,+0.1%,+25.2%,-1.3%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,317.6,,,,+10.6%,-0.8%,+21.7%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,87.83,,,,+36.6%,+4.9%,+36.7%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,300.27,,,,+52.3%,+16.9%,+42.7%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,947.82,,,,+9.9%,-6.3%,-3.0%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,328.58,,,,-26.9%,-20.2%,+2.0%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,594.0,,,,+2.5%,+25.2%,+30.6%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,217.76,,,,-10.2%,+13.1%,+5.1%
AON,Watchlist,,Financials,Insurance,Adj,Dec,358.3,,,,+1.5%,+14.3%,-1.8%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,480.0,,,,-25.6%,+0.4%,+4.1%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,Adj,Jun,812.76,,,,+195.1%,+6.0%,+448.8%
SPX,Indices,Indices,,,Adj,Dec,7757.64,,,,+13.3%,+5.7%,+22.4%
QQQ,Indices,Indices,,,GAAP,Dec,723.03,,,,+17.7%,+4.0%,+27.0%
IWM,Indices,Indices,,,Adj,Dec,301.56,,,,+22.5%,+6.8%,+37.2%
