Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,406.59,,,,-12.9%,-17.9%,+7.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,424.62,,,,+28.6%,+39.5%,+41.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,434.11,,,,+42.9%,+17.1%,+88.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,399.97,,,,+15.6%,+7.6%,+45.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,210.96,,,,+13.1%,+11.8%,+28.6%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,669.21,,,,+1.4%,+6.2%,-8.0%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,245.34,,,,+6.3%,+2.9%,+10.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,336.47,,,,+4.4%,+8.6%,+16.8%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,120.34,,,,-16.9%,+15.4%,-18.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,230.72,,,,+7.7%,+18.8%,-1.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,65.83,,,,-22.0%,-2.1%,-4.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,506.98,,,,-24.8%,+29.5%,+46.4%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,190.12,,,,-14.8%,+25.5%,-32.5%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1250.9,,,,-26.0%,+35.6%,-21.0%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,355.03,,,,+13.1%,+12.5%,+98.7%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,979.3,,,,+243.1%,+132.8%,+695.5%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,111.97,,,,-1.0%,+61.8%,+13.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1291.35,,,,-2.9%,+7.0%,-10.4%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,359.27,,,,+16.6%,+16.5%,+42.2%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,350.33,,,,+104.7%,+32.9%,+246.7%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,191.82,,,,-15.3%,+25.7%,-19.5%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,74.54,,,,-8.8%,+5.8%,-22.7%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1188.58,,,,+10.6%,+26.5%,+50.3%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,385.1,,,,-20.4%,+3.8%,-23.2%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,348.97,,,,-0.5%,+14.7%,-1.9%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,123.09,,,,-20.1%,+7.2%,-25.0%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,178.39,,,,-16.7%,+2.8%,-22.0%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,335.48,,,,+16.8%,+3.7%,+20.9%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,94.09,,,,+46.3%,+32.1%,+59.7%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,268.4,,,,+36.1%,+60.7%,+47.5%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,916.25,,,,+6.3%,-8.2%,-5.6%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,407.76,,,,-9.3%,+16.9%,+31.6%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,527.05,,,,-9.0%,+6.2%,+22.4%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,201.52,,,,-16.9%,+4.4%,-8.7%
AON,Watchlist,,Financials,Insurance,Adj,Dec,356.94,,,,+1.2%,+14.2%,-0.6%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,489.9,,,,-24.0%,+1.4%,-3.0%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,GAAP,Jun,910.34,,,,+230.6%,+80.9%,+530.0%
SPX,Indices,Indices,,,Adj,Dec,7575.39,,,,+10.7%,+11.1%,+20.6%
QQQ,Indices,Indices,,,GAAP,Dec,725.51,,,,+18.1%,+18.7%,+30.6%
IWM,Indices,Indices,,,Adj,Dec,295.99,,,,+20.2%,+13.3%,+31.7%
SOX,Indices,Indices,,,Adj,Dec,12967.16,,,,+83.1%,+45.9%,+127.2%
IGV,Indices,Indices,,,Adj,Dec,92.41,,,,-12.6%,+23.8%,-15.3%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,149.87,,,,+4.3%,+3.0%,+30.6%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,526.74,,,,-7.7%,+5.6%,-6.5%
