Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,402.59,,,,-13.8%,-7.3%,+13.7%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,414.4,,,,+25.5%,+11.9%,+66.1%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,404.25,,,,+33.0%,+2.1%,+67.3%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,389.28,,,,+12.5%,-6.7%,+32.5%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,200.75,,,,+7.6%,+0.6%,+12.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,556.71,,,,-15.7%,-9.0%,-28.0%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,271.58,,,,+17.7%,+2.5%,+16.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,351.79,,,,+9.2%,+12.3%,+18.8%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,125.59,,,,-13.2%,-2.4%,-13.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,211.42,,,,-1.3%,+5.0%,-7.1%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,62.36,,,,-26.1%,-21.2%,-20.1%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,395.9,,,,-41.2%,-11.3%,+1.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,203.78,,,,-8.7%,+30.7%,-28.3%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1122.97,,,,-33.6%,+9.6%,-21.8%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,356.65,,,,+13.7%,-6.6%,+84.9%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,823.03,,,,+188.4%,+59.1%,+654.1%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,86.56,,,,-23.5%,+18.8%,-16.0%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1254.38,,,,-5.7%,+8.1%,-16.7%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,360.07,,,,+16.9%,+24.2%,+32.8%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,293.02,,,,+71.2%,+13.6%,+209.0%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,196.16,,,,-13.4%,+16.3%,-21.6%
