Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,434.45,,,,-6.9%,-11.0%,+25.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,370.48,,,,+12.2%,+29.1%,-10.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,396.06,,,,+30.3%,+19.8%,+137.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,417.43,,,,+20.6%,+26.0%,+116.9%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,199.57,,,,+7.0%,+4.4%,+83.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,611.91,,,,-7.3%,-14.6%,+11.5%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,265.06,,,,+14.8%,+10.8%,+43.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,313.23,,,,-2.8%,+2.4%,+28.0%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,128.72,,,,-11.1%,-4.3%,-5.7%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,201.28,,,,-6.0%,-3.2%,-24.1%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,395.8,,,,-6.2%,-1.3%,+62.0%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,446.35,,,,-33.8%,-5.7%,+65.7%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,155.97,,,,-30.1%,-23.5%,-33.3%
FICO,Watchlist,,Information Technology,Software & Services,Adj,Sep,1025.0,,,,-39.4%,-29.9%,-48.5%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,381.94,,,,+21.7%,+12.8%,+137.4%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,517.16,,,,+81.2%,+24.7%,+572.1%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,72.89,,,,-35.6%,-26.7%,+48.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1159.98,,,,-12.8%,-18.7%,-12.3%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,289.93,,,,-5.9%,-5.5%,+43.9%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,257.86,,,,+50.6%,+10.5%,+259.8%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,168.65,,,,-25.5%,-17.6%,-12.6%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,74.61,,,,-8.7%,-6.8%,-7.9%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,934.6,,,,-13.0%,-9.9%,+4.0%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,407.78,,,,-15.7%,-5.2%,+3.2%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,329.84,,,,-6.0%,+2.5%,-4.5%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,125.58,,,,-18.5%,-11.8%,-4.7%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,168.36,,,,-21.4%,-15.9%,-17.5%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,324.07,,,,+12.8%,+8.6%,+43.7%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,79.5,,,,+23.6%,+6.2%,+85.0%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,204.97,,,,+4.0%,+15.6%,+69.7%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,1014.53,,,,+17.6%,+7.9%,+2.0%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,381.63,,,,-15.1%,-11.3%,+35.3%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,478.96,,,,-17.3%,-17.2%,+11.6%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,191.3,,,,-21.1%,-12.6%,+6.1%
AON,Watchlist,,Financials,Insurance,Adj,Dec,311.65,,,,-11.7%,-10.9%,-12.2%
