Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,26.292,27.69,+5.3%,27.69,+0.0%,27.69,+0.0%,405.0,14.6,+5.3%,-13.3%,+11.9%,-1.6%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.121,30.3,+7.7%,30.153,-0.5%,29.48,-2.2%,405.0,13.7,+4.8%,-13.3%,+11.9%,-1.6%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.358,33.295,+6.2%,33.132,-0.5%,32.053,-3.3%,405.0,12.6,+2.2%,-13.3%,+11.9%,-1.6%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.4,37.648,+6.4%,37.086,-1.5%,35.149,-5.2%,405.0,11.5,-0.7%,-13.3%,+11.9%,-1.6%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,14.829,14.947,+0.8%,14.947,+0.0%,14.947,+0.0%,397.14,26.6,+0.8%,+20.3%,+0.2%,+28.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,16.302,16.892,+3.6%,17.152,+1.5%,18.577,+8.3%,397.14,21.4,+14.0%,+20.3%,+0.2%,+28.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,19.024,17.563,-7.7%,19.709,+12.2%,21.464,+8.9%,397.14,18.5,+12.8%,+20.3%,+0.2%,+28.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,23.98,21.988,-8.3%,23.038,+4.8%,24.792,+7.6%,397.14,16.0,+3.4%,+20.3%,+0.2%,+28.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.672,10.239,+5.9%,10.239,+0.0%,10.239,+0.0%,428.91,41.9,+5.9%,+41.1%,-3.6%,+82.4%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,10.988,14.129,+28.6%,15.623,+10.6%,16.841,+7.8%,428.91,25.5,+53.3%,+41.1%,-3.6%,+82.4%
