Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,404.68,,,,-13.3%,-6.5%,+2.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,401.73,,,,+21.7%,+0.7%,+48.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,426.35,,,,+40.3%,+2.1%,+76.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,392.99,,,,+13.5%,-10.6%,+26.3%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,225.16,,,,+20.7%,-4.5%,+23.7%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,589.85,,,,-10.6%,-4.6%,-24.6%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,262.65,,,,+13.8%,-1.7%,+13.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,362.84,,,,+12.6%,+21.0%,+23.3%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,140.76,,,,-2.8%,+3.9%,+0.1%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,209.6,,,,-2.2%,+6.5%,-11.2%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,75.59,,,,-10.4%,+8.7%,+10.3%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,315.44,,,,-53.2%,-35.0%,-27.2%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,243.75,,,,+9.2%,+56.0%,-11.4%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1085.78,,,,-35.8%,+0.8%,-17.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,343.54,,,,+9.5%,-13.5%,+68.6%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,971.66,,,,+240.4%,+25.2%,+675.5%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,95.56,,,,-15.5%,+18.4%,-13.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1256.9,,,,-5.5%,+6.6%,-4.9%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,368.38,,,,+19.6%,+26.4%,+36.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,332.36,,,,+94.2%,+11.1%,+209.5%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,217.02,,,,-4.2%,+41.2%,-12.3%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,75.95,,,,-7.0%,+1.7%,-16.9%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1180.16,,,,+9.8%,+17.2%,+72.4%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,495.4,,,,+2.4%,+21.0%,-5.2%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,364.15,,,,+3.8%,+12.9%,+5.4%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,143.93,,,,-6.6%,+17.5%,-17.6%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,212.06,,,,-1.0%,+37.3%,-3.3%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,327.21,,,,+13.9%,+3.4%,+21.0%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,92.06,,,,+43.2%,+4.3%,+44.0%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,315.78,,,,+60.2%,+58.0%,+61.6%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,961.1,,,,+11.5%,-7.7%,-1.5%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,342.27,,,,-23.9%,-22.8%,+2.0%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,588.29,,,,+1.5%,+31.3%,+21.3%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,227.34,,,,-6.2%,+22.4%,+2.8%
AON,Watchlist,,Financials,Insurance,Adj,Dec,355.83,,,,+0.8%,+12.8%,-2.9%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,458.4,,,,-28.9%,-0.5%,-3.1%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,GAAP,Jun,973.44,,,,+253.5%,+21.0%,+525.1%
SPX,Indices,Indices,,,Adj,Dec,7785.76,,,,+13.7%,+3.8%,+20.4%
QQQ,Indices,Indices,,,GAAP,Dec,731.07,,,,+19.0%,+1.6%,+26.1%
IWM,Indices,Indices,,,Adj,Dec,305.09,,,,+23.9%,+7.3%,+33.7%
SOX,Indices,Indices,,,Adj,Dec,12417.05,,,,+75.3%,+2.8%,+111.0%
IGV,Indices,Indices,,,Adj,Dec,104.08,,,,-1.5%,+14.8%,-3.9%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,152.45,,,,+6.0%,+7.3%,+35.2%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,569.29,,,,-0.3%,+16.2%,-2.5%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,755570.0,,,,+0.1%,+3.9%,+5.1%
CSU,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,3089.46,,,,-6.7%,+22.0%,-27.4%
DHR,Extended,Uncategorized,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,202.45,,,,-11.6%,+23.0%,-3.7%
AAPL,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,GAAP,Sep,305.93,,,,+12.5%,+2.6%,+31.4%
NFLX,Extended,Uncategorized,Communication Services,Media & Entertainment,GAAP,Dec,78.16,,,,-16.6%,-10.1%,-36.5%
QCOM,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,Adj,Sep,165.79,,,,-3.1%,-17.1%,+4.9%
UMG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,14.945,,,,-32.8%,-25.4%,-38.9%
ASML,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,1579.6,,,,+71.4%,+15.6%,+145.7%
AMAT,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,507.18,,,,+97.4%,+15.1%,+169.4%
KLAC,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,203.72,,,,+67.7%,+7.6%,+113.2%
KKR,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,114.01,,,,-10.6%,+14.5%,-21.9%
BAM,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,54.31,,,,+3.7%,+9.9%,-12.6%
ARES,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,144.02,,,,-10.9%,+12.1%,-24.4%
OWL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,12.22,,,,-18.2%,+24.6%,-37.8%
CG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,49.28,,,,-16.6%,-1.5%,-24.1%
BN,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,43.85,,,,-4.4%,-7.7%,+0.3%
TPG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,53.03,,,,-16.9%,+22.6%,-17.4%
BEP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,34.75,,,,+28.8%,+1.9%,+42.9%
