Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.231,27.343,+8.4%,27.69,+1.3%,27.69,+0.0%,434.45,15.7,+9.7%,-6.9%,-11.0%,+25.9%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.0,29.582,+5.7%,30.147,+1.9%,30.192,+0.1%,434.45,14.4,+7.8%,-6.9%,-11.0%,+25.9%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.647,32.812,+3.7%,33.236,+1.3%,33.178,-0.2%,434.45,13.1,+4.8%,-6.9%,-11.0%,+25.9%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.838,36.79,+2.7%,37.441,+1.8%,37.227,-0.6%,434.45,11.7,+3.9%,-6.9%,-11.0%,+25.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,24.781,14.918,-39.8%,14.947,+0.2%,14.947,+0.0%,370.48,24.8,-39.7%,+12.2%,+29.1%,-10.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,28.764,16.392,-43.0%,16.612,+1.3%,17.183,+3.4%,370.48,21.6,-40.3%,+12.2%,+29.1%,-10.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,32.755,19.375,-40.8%,18.51,-4.5%,18.604,+0.5%,370.48,19.9,-43.2%,+12.2%,+29.1%,-10.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,37.36,23.577,-36.9%,22.445,-4.8%,22.819,+1.7%,370.48,16.2,-38.9%,+12.2%,+29.1%,-10.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.276,10.406,+12.2%,10.239,-1.6%,10.239,+0.0%,396.06,38.7,+10.4%,+30.3%,+19.8%,+137.6%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,10.851,12.408,+14.3%,14.201,+14.5%,15.524,+9.3%,396.06,25.5,+43.1%,+30.3%,+19.8%,+137.6%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,12.501,14.89,+19.1%,17.568,+18.0%,19.391,+10.4%,396.06,20.4,+55.1%,+30.3%,+19.8%,+137.6%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,13.793,16.458,+19.3%,20.292,+23.3%,23.134,+14.0%,396.06,17.1,+67.7%,+30.3%,+19.8%,+137.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.646,4.258,-8.4%,4.247,-0.3%,4.247,+0.0%,417.43,98.3,-8.6%,+20.6%,+26.0%,+116.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.026,6.527,+8.3%,8.175,+25.2%,9.122,+11.6%,417.43,45.8,+51.4%,+20.6%,+26.0%,+116.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,6.86,9.175,+33.7%,11.974,+30.5%,15.612,+30.4%,417.43,26.7,+127.6%,+20.6%,+26.0%,+116.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,,12.468,,15.592,+25.1%,19.048,+22.2%,417.43,21.9,,+20.6%,+26.0%,+116.9%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.196,4.411,+5.1%,4.614,+4.6%,4.626,+0.3%,199.57,43.1,+10.2%,+7.0%,+4.4%,+83.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.369,6.396,+19.1%,7.371,+15.2%,8.209,+11.4%,199.57,24.3,+52.9%,+7.0%,+4.4%,+83.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.089,7.866,+29.2%,9.353,+18.9%,10.922,+16.8%,199.57,18.3,+79.4%,+7.0%,+4.4%,+83.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,6.77,8.868,+31.0%,10.444,+17.8%,11.961,+14.5%,199.57,16.7,+76.7%,+7.0%,+4.4%,+83.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,24.928,24.346,-2.3%,22.814,-6.3%,22.814,+0.0%,611.91,26.8,-8.5%,-7.3%,-14.6%,+11.5%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,28.174,29.723,+5.5%,29.7,-0.1%,30.964,+4.3%,611.91,19.8,+9.9%,-7.3%,-14.6%,+11.5%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,32.671,33.635,+3.0%,34.326,+2.1%,34.768,+1.3%,611.91,17.6,+6.4%,-7.3%,-14.6%,+11.5%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,37.516,38.81,+3.4%,40.469,+4.3%,40.233,-0.6%,611.91,15.2,+7.2%,-7.3%,-14.6%,+11.5%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.171,7.024,+13.8%,7.099,+1.1%,7.102,+0.0%,265.06,37.3,+15.1%,+14.8%,+10.8%,+43.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.366,7.809,+6.0%,7.939,+1.7%,8.358,+5.3%,265.06,31.7,+13.5%,+14.8%,+10.8%,+43.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,9.097,9.518,+4.6%,9.662,+1.5%,9.749,+0.9%,265.06,27.2,+7.2%,+14.8%,+10.8%,+43.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.411,11.299,+8.5%,11.368,+0.6%,12.256,+7.8%,265.06,21.6,+17.7%,+14.8%,+10.8%,+43.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,18.507,20.296,+9.7%,19.774,-2.6%,19.774,+0.0%,313.23,15.8,+6.8%,-2.8%,+2.4%,+28.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,19.559,21.18,+8.3%,21.315,+0.6%,22.264,+4.5%,313.23,14.1,+13.8%,-2.8%,+2.4%,+28.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.246,22.851,+7.6%,23.045,+0.8%,23.451,+1.8%,313.23,13.4,+10.4%,-2.8%,+2.4%,+28.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,20.1,23.35,+16.2%,25.586,+9.6%,25.8,+0.8%,313.23,12.1,+28.4%,-2.8%,+2.4%,+28.0%
