Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,389.97,,,,-16.5%,-26.8%,+5.1%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,411.04,,,,+24.5%,+45.7%,+31.1%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,441.4,,,,+45.2%,+30.5%,+109.1%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,393.94,,,,+13.8%,+22.3%,+58.4%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,212.45,,,,+13.9%,+17.9%,+49.6%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,593.48,,,,-10.1%,-3.3%,-13.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,246.02,,,,+6.6%,+18.5%,+16.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,319.4,,,,-0.9%,+12.7%,+20.6%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,136.11,,,,-6.0%,+30.3%,+3.0%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,203.5,,,,-5.0%,-0.8%,-19.2%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,68.9,,,,-18.4%,+14.8%,+16.0%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,520.86,,,,-22.7%,+13.6%,+42.9%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,162.17,,,,-27.4%,-9.3%,-42.6%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1181.62,,,,-30.1%,+4.5%,-33.8%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,367.11,,,,+17.0%,+21.8%,+108.7%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,1087.99,,,,+281.2%,+155.3%,+841.2%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,98.12,,,,-13.2%,+33.7%,+35.2%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1277.35,,,,-3.9%,+5.2%,-5.2%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,342.26,,,,+11.1%,+14.2%,+44.7%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,388.92,,,,+127.2%,+83.3%,+334.5%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,168.09,,,,-25.8%,+4.2%,-23.2%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,72.85,,,,-10.8%,-0.7%,-13.2%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1129.35,,,,+5.1%,+14.6%,+37.8%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,399.76,,,,-17.3%,+1.1%,-15.8%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,323.82,,,,-7.7%,+5.4%,-8.2%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,124.63,,,,-19.1%,+16.7%,-8.6%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,174.64,,,,-18.5%,+2.9%,-17.6%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,347.11,,,,+20.8%,+19.1%,+42.3%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,92.76,,,,+44.2%,+40.1%,+83.5%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,235.71,,,,+19.6%,+10.9%,+37.1%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,979.45,,,,+13.6%,-2.9%,-1.1%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,411.15,,,,-8.6%,+5.1%,+26.4%
