Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.332,27.687,+9.3%,27.69,+0.0%,27.69,+0.0%,375.17,13.5,+9.3%,-19.6%,-24.9%,-0.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.018,29.646,+5.8%,30.372,+2.4%,30.153,-0.7%,375.17,12.4,+7.6%,-19.6%,-24.9%,-0.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.604,32.895,+4.1%,33.38,+1.5%,33.132,-0.7%,375.17,11.3,+4.8%,-19.6%,-24.9%,-0.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,36.22,36.79,+1.6%,37.55,+2.1%,37.086,-1.2%,375.17,10.1,+2.4%,-19.6%,-24.9%,-0.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,20.797,14.944,-28.1%,14.947,+0.0%,14.947,+0.0%,400.96,26.8,-28.1%,+21.5%,+43.0%,+30.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,24.471,16.406,-33.0%,16.826,+2.6%,17.152,+1.9%,400.96,23.4,-29.9%,+21.5%,+43.0%,+30.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,28.338,19.375,-31.6%,18.435,-4.9%,18.815,+2.1%,400.96,21.3,-33.6%,+21.5%,+43.0%,+30.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,32.685,23.718,-27.4%,21.731,-8.4%,23.234,+6.9%,400.96,17.3,-28.9%,+21.5%,+43.0%,+30.5%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,10.058,10.183,+1.2%,10.239,+0.5%,10.239,+0.0%,462.12,45.1,+1.8%,+52.1%,+36.4%,+116.4%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.663,12.281,+5.3%,14.141,+15.1%,15.63,+10.5%,462.12,29.6,+34.0%,+52.1%,+36.4%,+116.4%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.47,14.3,+6.2%,17.353,+21.3%,19.645,+13.2%,462.12,23.5,+45.8%,+52.1%,+36.4%,+116.4%
