Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,483.92,0.0,0.0,0.0,+3.7%,+0.1%,+45.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,281.36,0.0,0.0,0.0,-14.8%,-19.4%,-46.4%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,341.76,0.0,0.0,0.0,+12.5%,+4.4%,+132.8%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,314.43,0.0,0.0,0.0,-9.2%,-8.5%,+114.9%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,177.64,0.0,0.0,0.0,-4.8%,-5.1%,+88.4%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,573.02,0.0,0.0,0.0,-13.2%,-13.3%,+13.5%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,212.79,0.0,0.0,0.0,-7.8%,-11.7%,+24.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,295.45,0.0,0.0,0.0,-8.3%,-11.7%,+40.5%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,106.11,0.0,0.0,0.0,-26.7%,-30.5%,-2.4%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,196.38,0.0,0.0,0.0,-8.3%,-7.5%,-19.0%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,316.85,0.0,0.0,0.0,-24.9%,-28.1%,+94.9%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,412.68,0.1,0.0,0.0,-38.8%,-33.1%,+88.1%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,174.64,0.0,0.0,0.0,-21.8%,-26.6%,-18.3%
