Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,488.0,0.0,0.0,0.0,+4.5%,+4.0%,+45.7%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,324.63,0.0,0.0,0.0,-1.7%,-1.9%,-28.5%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,370.5,0.0,0.0,0.0,+21.9%,+8.2%,+144.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,406.54,0.0,0.0,0.0,+17.5%,+15.6%,+137.8%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,201.68,0.0,0.0,0.0,+8.1%,+8.3%,+98.7%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,688.55,0.0,0.0,0.0,+4.3%,+11.0%,+37.3%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,250.56,0.0,0.0,0.0,+8.6%,+4.8%,+45.2%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,310.29,0.0,0.0,0.0,-3.7%,-0.7%,+33.8%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,124.62,0.0,0.0,0.0,-13.9%,-13.4%,-1.7%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,202.58,0.0,0.0,0.0,-5.4%,+0.1%,-18.9%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,387.53,0.0,0.0,0.0,-8.2%,-12.5%,+83.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,477.2,0.1,0.0,0.0,-29.2%,-16.1%,+100.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,167.95,0.0,0.0,0.0,-24.8%,-24.4%,-22.2%
FICO,Watchlist,,Information Technology,Software & Services,Adj,Sep,1073.52,26.6,21.0,18.1,-36.5%,-31.5%,-43.8%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,339.4,0.0,0.0,0.0,+8.2%,+2.7%,+121.3%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,455.07,0.0,0.0,0.0,+59.4%,+25.5%,+561.4%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,90.75,36.1,31.2,26.3,-19.8%,-16.5%,+120.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1265.88,32.4,27.6,23.6,-4.8%,-12.7%,+1.1%
