Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.351,27.684,+9.2%,27.69,+0.0%,27.69,+0.0%,371.18,13.4,+9.2%,-20.5%,-23.9%,+2.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.002,29.519,+5.4%,30.33,+2.7%,29.997,-1.1%,371.18,12.4,+7.1%,-20.5%,-23.9%,+2.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.529,32.72,+3.8%,33.345,+1.9%,32.846,-1.5%,371.18,11.3,+4.2%,-20.5%,-23.9%,+2.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.783,36.226,+1.2%,37.341,+3.1%,36.459,-2.4%,371.18,10.2,+1.9%,-20.5%,-23.9%,+2.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,19.586,14.947,-23.7%,14.947,+0.0%,14.947,+0.0%,426.09,28.5,-23.7%,+29.1%,+31.3%,+47.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,23.338,16.385,-29.8%,16.832,+2.7%,18.031,+7.1%,426.09,23.6,-22.7%,+29.1%,+31.3%,+47.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,26.887,19.313,-28.2%,18.906,-2.1%,19.934,+5.4%,426.09,21.4,-25.9%,+29.1%,+31.3%,+47.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,30.705,23.538,-23.3%,22.47,-4.5%,24.07,+7.1%,426.09,17.7,-21.6%,+29.1%,+31.3%,+47.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,10.011,10.239,+2.3%,10.239,+0.0%,10.239,+0.0%,398.37,38.9,+2.3%,+31.1%,+7.5%,+62.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.452,13.782,+20.3%,15.174,+10.1%,16.251,+7.1%,398.37,24.5,+41.9%,+31.1%,+7.5%,+62.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.438,16.539,+23.1%,18.948,+14.6%,21.035,+11.0%,398.37,18.9,+56.5%,+31.1%,+7.5%,+62.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.693,19.095,+21.7%,22.567,+18.2%,26.395,+17.0%,398.37,15.1,+68.2%,+31.1%,+7.5%,+62.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.529,4.247,-6.2%,4.247,+0.0%,4.247,+0.0%,370.825,87.3,-6.2%,+7.1%,-8.8%,+29.5%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.112,8.062,+31.9%,9.122,+13.1%,9.329,+2.3%,370.825,39.7,+52.6%,+7.1%,-8.8%,+29.5%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.681,11.822,+53.9%,15.612,+32.1%,16.983,+8.8%,370.825,21.8,+121.1%,+7.1%,-8.8%,+29.5%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,9.947,15.367,+54.5%,19.048,+24.0%,23.603,+23.9%,370.825,15.7,+137.3%,+7.1%,-8.8%,+29.5%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.137,4.614,+11.5%,4.626,+0.3%,4.626,+0.0%,202.81,43.8,+11.8%,+8.7%,+0.6%,+17.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.555,7.364,+32.6%,8.269,+12.3%,9.513,+15.0%,202.81,21.3,+71.3%,+8.7%,+0.6%,+17.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.433,9.353,+45.4%,11.02,+17.8%,13.218,+19.9%,202.81,15.3,+105.5%,+8.7%,+0.6%,+17.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,7.325,10.444,+42.6%,12.746,+22.0%,16.006,+25.6%,202.81,12.7,+118.5%,+8.7%,+0.6%,+17.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,25.666,22.798,-11.2%,22.814,+0.1%,22.814,+0.0%,646.01,28.3,-11.1%,-2.1%,-6.2%,-7.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,28.494,29.652,+4.1%,29.569,-0.3%,32.817,+11.0%,646.01,19.7,+15.2%,-2.1%,-6.2%,-7.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,32.51,33.507,+3.1%,34.319,+2.4%,34.987,+1.9%,646.01,18.5,+7.6%,-2.1%,-6.2%,-7.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,38.127,38.751,+1.6%,40.008,+3.2%,40.412,+1.0%,646.01,16.0,+6.0%,-2.1%,-6.2%,-7.9%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.269,7.099,+13.2%,7.102,+0.0%,7.102,+0.0%,247.23,34.8,+13.3%,+7.1%,-1.3%,+10.4%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.329,7.928,+8.2%,7.694,-3.0%,8.819,+14.6%,247.23,28.0,+20.3%,+7.1%,-1.3%,+10.4%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,8.931,9.644,+8.0%,9.305,-3.5%,10.089,+8.4%,247.23,24.5,+13.0%,+7.1%,-1.3%,+10.4%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.658,11.303,+6.1%,11.525,+2.0%,12.922,+12.1%,247.23,19.1,+21.2%,+7.1%,-1.3%,+10.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,19.592,19.774,+0.9%,19.774,+0.0%,19.774,+0.0%,341.1,17.2,+0.9%,+5.9%,+9.9%,+17.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,20.391,21.308,+4.5%,22.203,+4.2%,24.367,+9.7%,341.1,14.0,+19.5%,+5.9%,+9.9%,+17.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.647,23.08,+6.6%,23.415,+1.5%,24.73,+5.6%,341.1,13.8,+14.2%,+5.9%,+9.9%,+17.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,21.9,25.567,+16.7%,25.784,+0.8%,27.051,+4.9%,341.1,12.6,+23.5%,+5.9%,+9.9%,+17.7%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2025,7.655,7.957,+3.9%,7.955,-0.0%,7.955,+0.0%,120.47,15.1,+3.9%,-16.8%,-3.3%,-22.8%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2026,9.274,9.224,-0.5%,8.926,-3.2%,8.855,-0.8%,120.47,13.6,-4.5%,-16.8%,-3.3%,-22.8%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2027,11.023,10.888,-1.2%,10.62,-2.5%,10.636,+0.2%,120.47,11.3,-3.5%,-16.8%,-3.3%,-22.8%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2028,12.36,12.303,-0.5%,12.241,-0.5%,12.506,+2.2%,120.47,9.6,+1.2%,-16.8%,-3.3%,-22.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2025,16.96,17.902,+5.6%,17.902,+0.0%,17.902,+0.0%,207.95,11.6,+5.6%,-2.9%,+2.7%,-10.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2026,16.079,16.098,+0.1%,16.308,+1.3%,17.634,+8.1%,207.95,11.8,+9.7%,-2.9%,+2.7%,-10.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2027,16.739,16.121,-3.7%,16.206,+0.5%,16.37,+1.0%,207.95,12.7,-2.2%,-2.9%,+2.7%,-10.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2028,17.457,16.518,-5.4%,16.171,-2.1%,16.278,+0.7%,207.95,12.8,-6.8%,-2.9%,+2.7%,-10.6%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2025,0.988,1.026,+3.8%,1.028,+0.2%,1.028,+0.0%,67.34,65.5,+4.0%,-20.2%,-13.1%,-2.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2026,1.254,1.453,+15.9%,1.447,-0.4%,1.532,+5.9%,67.34,44.0,+22.2%,-20.2%,-13.1%,-2.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2027,1.662,2.055,+23.6%,1.968,-4.2%,2.096,+6.5%,67.34,32.1,+26.1%,-20.2%,-13.1%,-2.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2028,2.445,2.462,+0.7%,2.661,+8.1%,2.671,+0.4%,67.34,25.2,+9.2%,-20.2%,-13.1%,-2.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2025,8.202,9.377,+14.3%,9.394,+0.2%,9.394,+0.0%,424.54,45.2,+14.5%,-37.0%,-11.0%,+16.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2026,12.065,14.676,+21.6%,15.529,+5.8%,15.975,+2.9%,424.54,26.6,+32.4%,-37.0%,-11.0%,+16.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2027,14.729,18.941,+28.6%,20.499,+8.2%,21.469,+4.7%,424.54,19.8,+45.8%,-37.0%,-11.0%,+16.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2028,18.069,23.666,+31.0%,25.747,+8.8%,27.264,+5.9%,424.54,15.6,+50.9%,-37.0%,-11.0%,+16.7%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2025,7.662,7.937,+3.6%,7.941,+0.1%,7.941,+0.0%,195.38,24.6,+3.6%,-12.5%,+16.3%,-29.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2026,8.331,8.593,+3.1%,8.885,+3.4%,9.057,+1.9%,195.38,21.6,+8.7%,-12.5%,+16.3%,-29.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2027,9.838,9.613,-2.3%,9.849,+2.5%,10.037,+1.9%,195.38,19.5,+2.0%,-12.5%,+16.3%,-29.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2028,,11.316,,11.155,-1.4%,11.334,+1.6%,195.38,17.2,,-12.5%,+16.3%,-29.3%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2025,29.192,29.52,+1.1%,29.52,+0.0%,29.52,+0.0%,1257.11,42.6,+1.1%,-25.6%,+17.1%,-17.6%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2026,36.101,40.414,+11.9%,41.681,+3.1%,43.219,+3.7%,1257.11,29.1,+19.7%,-25.6%,+17.1%,-17.6%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2027,44.71,51.415,+15.0%,52.725,+2.5%,54.217,+2.8%,1257.11,23.2,+21.3%,-25.6%,+17.1%,-17.6%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2028,54.557,60.087,+10.1%,63.856,+6.3%,65.627,+2.8%,1257.11,19.2,+20.3%,-25.6%,+17.1%,-17.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,9.619,10.595,+10.1%,10.598,+0.0%,10.598,+0.0%,346.12,32.7,+10.2%,+10.3%,+2.0%,+87.4%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,10.257,11.274,+9.9%,11.675,+3.6%,14.7,+25.9%,346.12,23.5,+43.3%,+10.3%,+2.0%,+87.4%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,11.63,13.436,+15.5%,13.56,+0.9%,14.815,+9.3%,346.12,23.4,+27.4%,+10.3%,+2.0%,+87.4%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,13.247,14.698,+11.0%,15.735,+7.1%,17.396,+10.6%,346.12,19.9,+31.3%,+10.3%,+2.0%,+87.4%
