Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,471.84,0.0,0.0,0.0,+1.1%,-1.3%,+42.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,277.26,0.0,0.0,0.0,-16.0%,-18.9%,-47.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,339.04,0.0,0.0,0.0,+11.6%,+5.2%,+131.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,314.55,0.0,0.0,0.0,-9.1%,-8.4%,+115.0%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,177.39,0.0,0.0,0.0,-4.9%,-5.7%,+88.1%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,574.46,0.0,0.0,0.0,-13.0%,-12.8%,+13.8%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,209.77,0.0,0.0,0.0,-9.1%,-10.0%,+22.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,294.6,0.0,0.0,0.0,-8.6%,-11.8%,+40.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,107.04,0.0,0.0,0.0,-26.1%,-28.5%,-1.5%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,195.25,0.0,0.0,0.0,-8.9%,-8.3%,-19.4%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,313.91,0.0,0.0,0.0,-25.6%,-27.0%,+93.1%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,386.37,0.0,0.0,0.0,-42.7%,-39.0%,+76.1%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,173.98,0.0,0.0,0.0,-22.1%,-21.4%,-18.6%
FICO,Watchlist,,Information Technology,Software & Services,Adj,Sep,1089.76,27.0,21.3,18.4,-35.5%,-34.1%,-34.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,294.46,0.0,0.0,0.0,-6.2%,-7.2%,+99.3%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,366.24,0.0,0.0,0.0,+28.3%,+17.3%,+465.9%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,68.9,27.4,23.7,20.0,-39.1%,-44.1%,+99.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1167.0,29.9,25.5,21.8,-12.2%,-14.7%,+0.8%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,281.16,36.3,31.9,28.1,-8.7%,-13.3%,+68.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,218.44,0.0,0.0,0.0,+27.6%,+12.2%,+269.7%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,156.45,0.0,0.0,0.0,-30.9%,-31.0%,-4.1%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,71.84,17.6,14.7,11.9,-12.1%,-11.0%,+11.2%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,935.58,28.9,23.6,20.0,-12.9%,-10.2%,+26.7%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,373.46,0.0,0.0,0.0,-22.8%,-21.0%,+3.8%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,300.8,23.7,20.9,18.5,-14.2%,-15.0%,-3.9%
