Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,371.18,,,,-20.5%,-23.9%,+2.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,426.09,,,,+29.1%,+31.3%,+47.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,398.37,,,,+31.1%,+7.5%,+62.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,370.825,,,,+7.1%,-8.8%,+29.5%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,202.81,,,,+8.7%,+0.6%,+17.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,646.01,,,,-2.1%,-6.2%,-7.9%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,247.23,,,,+7.1%,-1.3%,+10.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,341.1,,,,+5.9%,+9.9%,+17.7%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,120.47,,,,-16.8%,-3.3%,-22.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,207.95,,,,-2.9%,+2.7%,-10.6%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,67.34,,,,-20.2%,-13.1%,-2.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,424.54,,,,-37.0%,-11.0%,+16.7%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,195.38,,,,-12.5%,+16.3%,-29.3%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1257.11,,,,-25.6%,+17.1%,-17.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,346.12,,,,+10.3%,+2.0%,+87.4%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,848.95,,,,+197.4%,+86.6%,+649.6%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,99.96,,,,-11.6%,+10.1%,-5.2%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1214.43,,,,-8.7%,-4.1%,-18.6%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,348.83,,,,+13.2%,+14.7%,+34.0%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,313.3,,,,+83.0%,+17.1%,+210.8%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,184.14,,,,-18.7%,+0.1%,-21.6%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,72.46,,,,-11.3%,-6.0%,-19.9%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1179.11,,,,+9.7%,+27.2%,+54.8%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,393.82,,,,-18.6%,-6.9%,-23.0%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,358.56,,,,+2.2%,+13.1%,+2.5%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,126.91,,,,-17.7%,-1.7%,-26.4%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,181.68,,,,-15.2%,-5.4%,-20.1%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,321.32,,,,+11.9%,-5.8%,+18.0%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,90.53,,,,+40.8%,+10.8%,+52.3%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,277.66,,,,+40.8%,+38.1%,+45.2%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,940.87,,,,+9.1%,-5.9%,-1.4%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,380.84,,,,-15.3%,-4.9%,+19.2%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,532.48,,,,-8.1%,+1.1%,+25.3%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,208.03,,,,-14.2%,+0.8%,-4.6%
AON,Watchlist,,Financials,Insurance,Adj,Dec,367.21,,,,+4.1%,+10.7%,+3.5%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,495.1,,,,-23.2%,-0.9%,+3.8%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,Adj,Jun,787.66,,,,+186.0%,+43.8%,+436.8%
