Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,387.18,,,,-17.1%,-27.3%,+4.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,408.52,,,,+23.8%,+47.5%,+28.3%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,423.93,,,,+39.5%,+25.9%,+96.8%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,382.07,,,,+10.4%,+13.7%,+49.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,205.19,,,,+10.0%,+12.0%,+41.5%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,566.98,,,,-14.1%,-11.2%,-18.2%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,238.55,,,,+3.3%,+13.9%,+11.9%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,320.72,,,,-0.5%,+13.4%,+19.6%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,133.88,,,,-7.5%,+33.5%,-3.1%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,203.11,,,,-5.2%,-1.0%,-19.6%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,64.1,,,,-24.1%,+9.5%,+0.5%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,496.77,,,,-26.3%,+10.6%,+30.5%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,159.54,,,,-28.5%,-11.8%,-43.5%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1179.19,,,,-30.3%,+7.8%,-33.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,358.16,,,,+14.1%,+18.1%,+102.4%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,981.61,,,,+243.9%,+142.2%,+744.9%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,93.19,,,,-17.6%,+22.4%,+26.2%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1256.05,,,,-5.5%,+2.5%,-6.5%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,335.3,,,,+8.9%,+9.3%,+39.7%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,366.81,,,,+114.3%,+75.1%,+300.2%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,150.58,,,,-33.5%,-6.9%,-30.5%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,68.85,,,,-15.7%,-5.6%,-19.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1133.0,,,,+5.4%,+15.9%,+39.5%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,390.74,,,,-19.2%,-2.8%,-18.4%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,322.39,,,,-8.1%,+5.2%,-13.2%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,122.79,,,,-20.3%,+20.2%,-12.8%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,164.94,,,,-23.0%,-2.2%,-24.5%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,345.95,,,,+20.4%,+17.6%,+38.1%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,90.81,,,,+41.2%,+35.7%,+77.2%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,228.48,,,,+15.9%,+7.7%,+33.8%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,982.35,,,,+13.9%,-2.1%,-2.0%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,406.43,,,,-9.6%,+2.9%,+27.4%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,469.34,,,,-19.0%,-1.4%,+13.0%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,184.73,,,,-23.8%,+4.1%,-6.6%
AON,Watchlist,,Financials,Insurance,Adj,Dec,335.31,,,,-5.0%,+6.1%,-5.8%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,510.6,,,,-20.8%,+3.2%,+8.9%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,GAAP,Jun,931.04,,,,+238.1%,+149.0%,+638.5%
SPX,Indices,Indices,,,Adj,Dec,7431.46,,,,+8.6%,+11.4%,+22.9%
QQQ,Indices,Indices,,,GAAP,Dec,721.34,,,,+17.4%,+20.8%,+35.2%
IWM,Indices,Indices,,,Adj,Dec,292.95,,,,+19.0%,+18.4%,+37.7%
SOX,Indices,Indices,,,Adj,Dec,13371.47,,,,+88.8%,+74.9%,+154.7%
IGV,Indices,Indices,,,Adj,Dec,90.7,,,,-14.2%,+6.7%,-15.3%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,140.0,,,,-2.6%,+5.2%,+20.4%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,489.98,,,,-14.2%,-1.5%,-16.9%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,732100.0,,,,-3.0%,-0.6%,-0.4%
