Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,495.47,0.0,0.0,0.0,+6.1%,+3.4%,+48.6%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,304.33,0.0,0.0,0.0,-7.8%,-8.9%,-49.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,370.6,0.0,0.0,0.0,+22.0%,+11.9%,+135.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,371.55,0.0,0.0,0.0,+7.4%,+4.8%,+104.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,188.63,0.0,0.0,0.0,+1.1%,+1.5%,+70.0%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,629.86,0.0,0.0,0.0,-4.6%,-0.2%,+15.9%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,238.38,0.0,0.0,0.0,+3.3%,-1.7%,+28.9%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,309.87,0.0,0.0,0.0,-3.8%,-0.3%,+31.2%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,104.28,0.0,0.0,0.0,-28.0%,-27.2%,-17.2%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,194.13,0.0,0.0,0.0,-9.4%,-5.3%,-25.1%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,336.31,0.0,0.0,0.0,-20.3%,-28.2%,+63.1%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,391.38,0.1,0.0,0.0,-41.9%,-41.5%,+56.6%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,151.43,0.0,0.0,0.0,-32.2%,-33.7%,-30.5%
FICO,Watchlist,,Information Technology,Software & Services,Adj,Sep,922.37,22.8,18.0,15.6,-45.4%,-43.2%,-51.2%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,315.72,0.0,0.0,0.0,+0.6%,-6.2%,+98.1%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,420.59,0.0,0.0,0.0,+47.4%,+24.4%,+504.7%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,69.19,27.5,23.8,20.1,-38.8%,-42.5%,+58.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1207.18,30.9,26.3,22.5,-9.2%,-12.6%,-1.7%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,308.35,39.8,35.0,30.8,+0.1%,-5.8%,+69.7%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,263.66,0.0,0.0,0.0,+54.0%,+23.0%,+290.7%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,152.58,0.0,0.0,0.0,-32.6%,-29.8%,-15.5%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,70.48,17.3,14.4,11.7,-13.7%,-17.5%,-2.5%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,939.47,29.0,23.7,20.0,-12.6%,-12.8%,+28.3%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,370.87,0.0,0.0,0.0,-23.3%,-21.2%,-4.5%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,304.36,24.0,21.2,18.8,-13.2%,-7.2%,-8.7%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,114.83,0.0,0.0,0.0,-25.5%,-26.0%,-9.7%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,173.46,0.0,0.0,0.0,-19.0%,-18.4%,-5.5%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,323.43,35.4,30.8,26.3,+12.6%,+7.6%,+52.3%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,71.21,30.7,27.3,23.9,+10.7%,+0.9%,+66.2%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,166.99,141.9,107.7,77.8,-15.3%,-11.5%,+57.2%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,998.47,0.0,0.0,0.0,+15.8%,+6.0%,+3.6%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,348.95,192.2,137.7,89.0,-22.4%,-22.0%,+38.3%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,496.11,20.2,18.2,16.4,-14.4%,-18.3%,+13.2%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,193.0,9.2,7.7,6.4,-20.4%,-16.6%,+19.9%
AON,Watchlist,,Financials,Insurance,Adj,Dec,312.57,16.4,14.6,13.3,-11.4%,-9.3%,-16.9%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,483.3,20.1,17.8,15.3,-25.1%,-25.3%,-7.8%
SPX,Indices,Indices,,,Adj,Dec,6816.89,19.2,17.3,16.0,-0.4%,-2.1%,+27.1%
QQQ,Indices,Indices,,,GAAP,Dec,611.07,,,,-0.5%,-2.4%,+34.5%
IWM,Indices,Indices,,,Adj,Dec,261.3,,,,+6.2%,-0.0%,+41.7%
SOX,Indices,Indices,,,Adj,Dec,8889.828,24.6,21.5,17.5,+25.5%,+14.7%,+122.8%
IGV,Indices,Indices,,,Adj,Dec,74.67,,,,-29.3%,-27.8%,-14.4%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,145.53,10.0,9.5,8.4,+1.2%,+0.9%,+58.2%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,498.66,26.2,22.5,19.6,-12.7%,-8.5%,-2.2%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,720002.9,22.0,21.4,19.3,-4.6%,-3.0%,-8.2%
CSU,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,2295.18,26.2,23.1,25.2,-30.7%,-28.5%,-49.6%
DHR,Extended,Uncategorized,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,189.61,22.5,20.5,18.7,-17.2%,-19.5%,+0.5%
AAPL,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,GAAP,Sep,260.48,31.6,28.4,26.1,-4.2%,-0.2%,+31.5%
NFLX,Extended,Uncategorized,Communication Services,Media & Entertainment,GAAP,Dec,103.01,31.8,26.4,22.9,+9.9%,+14.1%,+12.2%
QCOM,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,Adj,Sep,128.06,0.0,0.0,0.0,-25.1%,-22.5%,-8.0%
UMG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,19.425,17.2,15.6,14.6,-12.6%,-12.1%,-16.3%
ASML,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,1270.0,0.0,0.0,0.0,+37.8%,+15.2%,+120.0%
AMAT,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,399.49,0.0,0.0,0.0,+55.4%,+31.0%,+175.6%
KLAC,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,1737.28,50.1,42.6,39.7,+43.0%,+20.5%,+159.2%
KKR,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,91.22,0.0,0.0,0.0,-28.4%,-29.9%,-10.1%
BAM,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,44.9,0.0,0.0,0.0,-14.3%,-14.5%,-5.1%
ARES,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,100.46,0.0,0.0,0.0,-37.8%,-40.6%,-27.1%
OWL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,8.23,0.0,0.0,0.0,-44.9%,-46.2%,-51.6%
CG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,47.29,0.0,0.0,0.0,-20.0%,-27.8%,+30.5%
BN,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,42.14,0.0,0.0,0.0,-8.2%,-10.9%,+30.1%
TPG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,38.29,12.7,10.3,9.0,-40.0%,-41.5%,-14.1%
BEP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,34.66,-39.4,-40.6,-288.8,+28.5%,+21.4%,+62.3%
BIP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,36.56,39.8,31.4,16.2,+5.2%,+5.8%,+29.4%
MAR,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,354.1,31.3,27.9,24.0,+14.1%,+9.6%,+57.2%
DPZ,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,365.95,18.7,17.2,15.6,-12.2%,-10.9%,-20.8%
CMG,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,34.09,28.0,23.8,20.0,-7.9%,-13.5%,-31.5%
MCO,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,427.41,26.2,23.3,21.2,-16.3%,-20.1%,-0.2%
SPGI,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,415.42,20.9,18.7,17.2,-20.5%,-23.4%,-10.7%
MSCI,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,536.48,27.7,24.6,21.9,-6.5%,-8.7%,-1.0%
CSGP,Extended,Uncategorized,Real Estate,Real Estate Management & Devel,Adj,Dec,36.48,26.9,18.5,13.9,-45.7%,-41.0%,-52.9%
LPLA,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,312.53,13.2,10.7,9.4,-12.5%,-14.2%,+0.4%
SCHW,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,94.8,16.8,14.3,12.5,-5.1%,-6.3%,+23.2%
CRM,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jan,164.96,0.0,0.0,0.0,-37.7%,-31.6%,-35.3%
WDAY,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jan,112.5,0.0,0.0,0.0,-47.6%,-43.6%,-50.3%
ADBE,Extended,Uncategorized,Information Technology,Software & Services,Adj,Nov,225.35,9.6,8.5,7.7,-35.6%,-27.3%,-36.1%
SHOP,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,110.79,0.0,0.0,0.0,-31.2%,-33.8%,+32.3%
GWRE,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jul,117.95,0.1,0.1,0.1,-41.3%,-34.3%,-38.2%
NOW,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,83.0,0.0,0.0,0.0,-45.8%,-39.9%,-47.2%
ELV,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,311.53,0.0,0.0,0.0,-11.1%,-16.0%,-29.2%
ISRG,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,450.62,46.4,40.1,34.6,-20.4%,-19.8%,-8.7%
BLDR,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,85.3,13.0,10.0,8.4,-17.1%,-31.7%,-29.4%
FERG,Extended,Uncategorized,Industrials,Capital Goods,Adj,Jul,256.61,23.4,21.2,19.4,+15.3%,+5.6%,+55.8%
CRH,Extended,Uncategorized,Materials,Materials,Adj,Dec,117.89,19.3,17.6,15.3,-5.5%,-7.5%,+39.1%
FND,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,51.68,24.7,20.4,16.9,-15.1%,-32.6%,-31.1%
WMT,Extended,Uncategorized,Consumer Staples,Consumer Staples Distribution,GAAP,Jan,126.77,0.0,0.0,0.0,+13.8%,+5.3%,+36.6%
PM,Extended,Uncategorized,Consumer Staples,"Food, Beverage & Tobacco",GAAP,Dec,160.45,19.9,18.3,16.8,+0.0%,-3.3%,+4.3%
CP,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,80.67,15.2,13.4,11.8,+9.6%,+14.2%,+9.7%
CNR,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,152.26,18.7,16.8,15.2,+12.2%,+12.7%,+9.9%
UNP,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,250.51,19.9,18.3,16.5,+8.3%,+9.3%,+14.6%
CSX,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,42.24,22.2,19.9,18.0,+16.5%,+18.6%,+50.8%
NVR,Extended,Uncategorized,Consumer Discretionary,Consumer Durables & Apparel,Adj,Dec,6750.04,16.4,14.2,12.6,-7.4%,-12.0%,-6.3%
PDD,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,100.17,1.2,1.0,1.0,-11.7%,-10.8%,+10.7%
MSI,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,Adj,Dec,433.69,26.6,24.5,21.3,+13.1%,+10.9%,+2.7%
TPL,Extended,Uncategorized,Energy,Energy,Adj,Dec,409.97,50.1,41.7,35.0,+42.7%,+27.4%,-0.5%
APG,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,44.41,26.6,22.9,17.8,+16.1%,+3.8%,+92.0%
CACC,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,465.15,10.6,9.0,6.2,+4.9%,+0.8%,-5.7%
GL,Extended,Uncategorized,Financials,Insurance,Adj,Dec,145.84,9.7,8.9,8.2,+4.3%,+2.8%,+22.0%
LAD,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,273.1,0.0,0.0,0.0,-17.8%,-19.5%,-6.3%
CHTR,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,218.82,5.1,4.5,4.0,+4.8%,+10.6%,-34.6%
ABG,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,204.0,7.3,6.3,5.3,-12.3%,-16.9%,-10.6%
ALRM,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,42.65,15.9,15.3,,-16.4%,-17.0%,-17.0%
OPTU,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,1.32,-7.1,-6.6,-3.7,-20.0%,-30.5%,-42.9%
CMCSA,Extended,Uncategorized,Communication Services,Telecommunication Services,Adj,Dec,27.93,6.8,6.4,5.7,-0.3%,-1.9%,-11.6%
WRLD,Extended,Uncategorized,Financials,Financial Services,Adj,Mar,148.8,9.9,9.0,,+6.0%,+4.2%,+23.8%
CARG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,34.15,13.5,11.3,10.0,-11.0%,-6.0%,+26.5%
ARMK,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Sep,42.86,19.3,16.6,14.4,+16.3%,+11.7%,+29.4%
QSR,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,76.39,19.0,17.6,16.1,+12.0%,+10.3%,+21.5%
W,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,71.68,25.1,19.1,15.3,-28.6%,-39.8%,+166.0%
MO,Extended,Uncategorized,Consumer Staples,"Food, Beverage & Tobacco",Adj,Dec,67.38,12.1,11.7,11.5,+16.9%,+12.0%,+18.9%
CI,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,271.25,0.0,0.0,0.0,-1.4%,-0.2%,-17.9%
CVS,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,79.33,11.1,9.7,8.4,-0.0%,-1.7%,+14.1%
SSNC,Extended,Uncategorized,Industrials,Commercial & Professional Serv,Adj,Dec,67.26,10.1,9.4,8.5,-23.1%,-20.7%,-11.6%
SPOT,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,475.99,38.9,30.6,25.8,-18.0%,-11.0%,-12.4%
BABA,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Mar,127.33,2.1,1.7,1.4,-13.1%,-23.8%,+19.1%
IAC,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,40.85,38.4,28.2,22.2,+4.5%,+1.6%,+19.5%
PYPL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,45.24,7.8,6.9,6.1,-22.5%,-20.0%,-27.7%
THC,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,195.24,0.0,0.0,0.0,-1.8%,-2.0%,+57.7%
UHS,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,180.78,0.0,0.0,0.0,-17.1%,-10.4%,+3.1%
CYH,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,3.15,0.0,0.0,0.0,+1.0%,-4.3%,+27.0%
DVA,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,150.05,0.0,0.0,0.0,+32.1%,+43.6%,-3.5%
LH,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,260.93,14.9,13.6,12.4,+4.0%,+2.7%,+17.8%
DGX,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,191.51,0.0,0.0,0.0,+10.4%,+6.4%,+16.8%
IDXX,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,563.0,38.8,34.1,30.0,-16.8%,-21.2%,+44.0%
ENSG,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,199.02,27.6,25.0,23.7,+14.2%,+11.9%,+55.5%
MD,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,21.45,10.3,10.0,10.1,+0.3%,-3.2%,+60.8%
AMN,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,17.87,24.0,15.0,10.7,+13.4%,+16.6%,-6.5%
CCRN,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,9.48,115.6,107.7,51.0,+17.0%,+12.2%,-33.8%
EVH,Extended,Healthcare providers,Health Care,Health Care Equipment & Servic,Adj,Dec,2.33,6.6,4.3,3.1,-41.8%,-41.9%,-76.8%
HUM,Extended,Managed Care,Health Care,Health Care Equipment & Servic,Adj,Dec,192.15,0.0,0.0,0.0,-25.0%,-29.9%,-34.9%
ALHC,Extended,Managed Care,Health Care,Health Care Equipment & Servic,Adj,Dec,20.5,112.0,39.5,29.2,+3.8%,-2.0%,+3.9%
CNC,Extended,Managed Care,Health Care,Health Care Equipment & Servic,Adj,Dec,37.3,0.0,0.0,0.0,-9.4%,-18.5%,-41.6%
MOH,Extended,Managed Care,Health Care,Health Care Equipment & Servic,Adj,Dec,145.88,0.0,0.0,0.0,-15.9%,-19.4%,-57.7%
IQV,Extended,Clinical Labs,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,167.34,12.9,11.6,10.3,-25.8%,-30.7%,+15.0%
ICLR,Extended,Clinical Labs,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,106.81,8.0,7.3,6.5,-41.4%,-41.7%,-25.8%
MEDP,Extended,Clinical Labs,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,493.53,30.1,27.0,24.2,-12.1%,-18.9%,+65.8%
CRL,Extended,Clinical Labs,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,175.65,16.0,15.2,14.0,-11.9%,-19.8%,+76.1%
EHTH,Extended,Clinical Labs,Financials,Insurance,Adj,Dec,1.32,1.7,0.8,0.6,-71.3%,-65.4%,-77.9%
TMUS,Extended,Cable / Telco,Communication Services,Telecommunication Services,GAAP,Dec,195.71,16.7,13.4,11.3,-3.6%,+3.2%,-24.3%
VZ,Extended,Cable / Telco,Communication Services,Telecommunication Services,Adj,Dec,46.04,9.7,9.3,8.8,+13.0%,+18.0%,+5.3%
T,Extended,Cable / Telco,Communication Services,Telecommunication Services,Adj,Dec,26.46,11.8,10.7,9.7,+6.5%,+13.6%,-1.2%
CABO,Extended,Cable / Telco,Communication Services,Media & Entertainment,Adj,Dec,91.83,4.5,3.5,3.3,-18.6%,-1.2%,-65.4%
LBRDK,Extended,Cable / Telco,Communication Services,Media & Entertainment,Adj,Dec,51.13,7.1,6.0,7.4,+5.2%,+10.9%,-28.9%
VOD,Extended,Cable / Telco,Communication Services,Telecommunication Services,Adj,Mar,15.69,15.0,13.1,11.2,+18.8%,+19.0%,+79.7%
DTE,Extended,Cable / Telco,Communication Services,Telecommunication Services,Adj,Dec,30.99,13.9,12.5,11.4,+12.0%,+10.8%,+1.0%
TEF,Extended,Cable / Telco,Communication Services,Telecommunication Services,Adj,Dec,3.843,10.9,10.2,8.8,+10.0%,+14.6%,-3.8%
GOOGL,Extended,Internet,Communication Services,Media & Entertainment,GAAP,Dec,317.24,28.3,23.6,21.7,+1.4%,-5.6%,+101.9%
PINS,Extended,Internet,Communication Services,Media & Entertainment,Adj,Dec,17.62,0.0,0.0,0.0,-31.9%,-36.1%,-33.2%
SNAP,Extended,Internet,Communication Services,Media & Entertainment,Adj,Dec,4.82,0.0,0.0,0.0,-40.3%,-39.7%,-39.4%
RDDT,Extended,Internet,Communication Services,Media & Entertainment,Adj,Dec,139.73,0.0,0.0,0.0,-39.2%,-46.0%,+38.1%
ABNB,Extended,Internet,Consumer Discretionary,Consumer Services,Adj,Dec,128.96,26.7,22.5,19.0,-5.0%,-7.9%,+12.6%
EBAY,Extended,Internet,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,95.4,0.0,0.0,0.0,+9.5%,+1.1%,+47.7%
TTD,Extended,Internet,Communication Services,Media & Entertainment,Adj,Dec,20.09,0.0,0.0,0.0,-47.1%,-45.9%,-59.6%
ROKU,Extended,Internet,Communication Services,Media & Entertainment,Adj,Dec,102.47,84.3,45.1,29.8,-5.5%,-7.3%,+70.2%
ETSY,Extended,Internet,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,52.69,11.5,9.2,8.1,-5.0%,-14.4%,+20.8%
MTCH,Extended,Internet,Communication Services,Media & Entertainment,Adj,Dec,31.7,11.4,9.6,7.8,-1.8%,+0.1%,+11.3%
