Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,Q2 2023,Q3 2023,Q3 2023 chg,Q4 2023,Q4 2023 chg,Q1 2024,Q1 2024 chg,Q2 2024,Q2 2024 chg,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2028,16.31,13.21,-19.0%,14.485,+9.7%,14.615,+0.9%,16.29,+11.5%,13.605,-16.5%,12.6,-7.4%,13.91,+10.4%,18.597,+33.7%,18.251,-1.9%,36.88,+102.1%,81.149,+120.0%,377.76,4.7,+483.4%,+32.4%,+10.0%,+483.7%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2025,0.049,0.206,+320.4%,0.189,-8.3%,0.439,+132.3%,0.578,+31.7%,0.689,+19.2%,1.109,+61.0%,1.478,+33.3%,1.308,-11.5%,1.738,+32.9%,2.038,+17.3%,2.066,+1.4%,69.78,33.8,+39.8%,-38.3%,-42.7%,+102.2%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2026,-0.24,0.068,+128.3%,0.91,+1238.2%,0.137,-84.9%,0.675,+392.7%,0.8,+18.5%,1.187,+48.4%,1.736,+46.3%,1.565,-9.9%,2.13,+36.1%,2.513,+18.0%,2.342,-6.8%,69.78,29.8,+34.9%,-38.3%,-42.7%,+102.2%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2027,,0.12,,,,,,0.3,+150.0%,0.56,+86.7%,1.493,+166.6%,2.073,+38.8%,1.94,-6.4%,2.426,+25.1%,2.908,+19.9%,2.859,-1.7%,69.78,24.4,+37.9%,-38.3%,-42.7%,+102.2%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2028,,,,,,,,,,,,,,1.905,,1.805,-5.2%,1.99,+10.2%,3.445,+73.1%,3.462,+0.5%,69.78,20.2,+81.7%,-38.3%,-42.7%,+102.2%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2025,32.851,35.038,+6.7%,37.649,+7.5%,37.205,-1.2%,39.1,+5.1%,40.271,+3.0%,37.45,-7.0%,37.382,-0.2%,37.489,+0.3%,36.855,-1.7%,36.616,-0.6%,,,1189.64,32.5,-2.2%,-10.5%,-14.1%,+2.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2026,35.306,37.075,+5.0%,42.284,+14.0%,42.054,-0.5%,43.976,+4.6%,45.718,+4.0%,43.198,-5.5%,43.336,+0.3%,43.462,+0.3%,41.502,-4.5%,39.046,-5.9%,39.05,+0.0%,1189.64,30.5,-9.9%,-10.5%,-14.1%,+2.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2027,29.0,29.36,+1.2%,41.175,+40.2%,44.436,+7.9%,47.08,+6.0%,49.228,+4.6%,48.556,-1.4%,49.422,+1.8%,49.688,+0.5%,47.99,-3.4%,45.829,-4.5%,45.798,-0.1%,1189.64,26.0,-7.3%,-10.5%,-14.1%,+2.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2028,,,,36.08,,43.725,+21.2%,48.153,+10.1%,50.548,+5.0%,50.55,+0.0%,53.114,+5.1%,52.837,-0.5%,51.642,-2.3%,53.571,+3.7%,52.822,-1.4%,1189.64,22.5,-0.5%,-10.5%,-14.1%,+2.7%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2025,6.01,6.073,+1.0%,6.298,+3.7%,6.11,-3.0%,5.293,-13.4%,5.273,-0.4%,5.187,-1.6%,5.456,+5.2%,5.783,+6.0%,6.111,+5.7%,6.862,+12.3%,6.907,+0.7%,288.69,41.8,+26.6%,-6.3%,-11.9%,+73.1%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2026,9.06,8.445,-6.8%,7.9,-6.5%,7.77,-1.6%,5.852,-24.7%,6.233,+6.5%,6.65,+6.7%,6.479,-2.6%,6.554,+1.2%,7.045,+7.5%,7.751,+10.0%,7.789,+0.5%,288.69,37.1,+20.2%,-6.3%,-11.9%,+73.1%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2027,7.26,7.68,+5.8%,8.555,+11.4%,9.625,+12.5%,6.59,-31.5%,7.35,+11.5%,7.562,+2.9%,7.375,-2.5%,7.618,+3.3%,8.084,+6.1%,8.819,+9.1%,8.964,+1.6%,288.69,32.2,+21.5%,-6.3%,-11.9%,+73.1%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2028,,,,,,10.605,,7.443,-29.8%,8.128,+9.2%,8.426,+3.7%,8.263,-1.9%,8.523,+3.1%,9.202,+8.0%,9.997,+8.6%,10.17,+1.7%,288.69,28.4,+23.1%,-6.3%,-11.9%,+73.1%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2025,3.382,3.606,+6.6%,3.52,-2.4%,3.559,+1.1%,3.587,+0.8%,3.567,-0.6%,3.519,-1.3%,3.753,+6.6%,4.011,+6.9%,4.012,+0.0%,,,,,220.65,55.0,+12.5%,+28.9%,+6.6%,+273.4%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2026,4.005,4.184,+4.5%,4.189,+0.1%,4.49,+7.2%,4.588,+2.2%,4.552,-0.8%,4.132,-9.2%,3.887,-5.9%,3.976,+2.3%,4.44,+11.7%,4.797,+8.0%,5.293,+10.3%,220.65,41.7,+36.2%,+28.9%,+6.6%,+273.4%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2027,5.12,4.42,-13.7%,5.015,+13.5%,4.95,-1.3%,4.98,+0.6%,4.956,-0.5%,4.877,-1.6%,4.715,-3.3%,4.698,-0.4%,5.006,+6.6%,5.662,+13.1%,6.981,+23.3%,220.65,31.6,+48.1%,+28.9%,+6.6%,+273.4%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2028,,4.745,,5.48,+15.5%,5.33,-2.7%,5.26,-1.3%,5.18,-1.5%,5.78,+11.6%,5.495,-4.9%,5.24,-4.6%,5.772,+10.2%,6.286,+8.9%,7.792,+24.0%,220.65,28.3,+41.8%,+28.9%,+6.6%,+273.4%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2025,1.625,1.448,-10.9%,1.675,+15.7%,2.857,+70.6%,4.038,+41.3%,3.518,-12.9%,4.164,+18.4%,4.423,+6.2%,4.129,-6.6%,4.282,+3.7%,5.08,+18.6%,5.084,+0.1%,155.07,30.5,+14.9%,-31.5%,-32.4%,-5.0%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2026,2.367,1.985,-16.1%,2.436,+22.7%,3.196,+31.2%,5.878,+83.9%,5.189,-11.7%,5.64,+8.7%,5.815,+3.1%,5.561,-4.4%,5.913,+6.3%,5.771,-2.4%,5.499,-4.7%,155.07,28.2,-5.4%,-31.5%,-32.4%,-5.0%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2027,4.034,3.407,-15.5%,4.09,+20.0%,3.893,-4.8%,3.113,-20.0%,3.763,+20.9%,4.858,+29.1%,6.513,+34.1%,6.359,-2.4%,7.52,+18.3%,7.486,-0.5%,7.306,-2.4%,155.07,21.2,+12.2%,-31.5%,-32.4%,-5.0%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2028,5.08,4.118,-18.9%,5.515,+33.9%,3.86,-30.0%,3.715,-3.8%,3.715,+0.0%,4.69,+26.2%,6.56,+39.9%,7.96,+21.3%,8.913,+12.0%,9.48,+6.4%,8.323,-12.2%,155.07,18.6,+26.9%,-31.5%,-32.4%,-5.0%
