Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,394.07,,,,-15.6%,-26.0%,+4.6%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,388.47,,,,+17.7%,+34.0%,+30.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,404.52,,,,+33.1%,+9.2%,+106.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,414.14,,,,+19.7%,+24.5%,+79.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,215.33,,,,+15.5%,+13.4%,+62.1%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,610.26,,,,-7.5%,-6.9%,-4.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,266.32,,,,+15.4%,+26.8%,+31.1%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,306.38,,,,-4.9%,-1.4%,+17.5%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,128.51,,,,-11.2%,+7.3%,-1.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,199.51,,,,-6.9%,-2.2%,-23.5%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,68.28,,,,-19.1%,+1.4%,+13.0%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,481.68,,,,-28.5%,+15.0%,+37.0%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,160.17,,,,-28.2%,-11.2%,-32.0%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1239.91,,,,-26.7%,-8.2%,-27.1%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,379.38,,,,+20.9%,+20.5%,+120.6%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,751.0,,,,+163.1%,+75.4%,+691.9%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,73.64,,,,-34.9%,-3.2%,+13.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1213.51,,,,-8.7%,-9.4%,-7.7%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,302.84,,,,-1.7%,-11.8%,+31.5%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,305.35,,,,+78.4%,+24.7%,+269.9%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,160.25,,,,-29.2%,-9.1%,-20.2%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,71.82,,,,-12.1%,-2.8%,-18.4%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1065.0,,,,-0.9%,+5.5%,+48.9%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,418.57,,,,-13.5%,+5.4%,-8.0%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,328.88,,,,-6.2%,+2.5%,-8.1%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,118.51,,,,-23.1%,-2.3%,-13.5%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,161.06,,,,-24.8%,-1.2%,-24.6%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,321.08,,,,+11.8%,+1.6%,+30.2%
