Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.339,27.696,+9.3%,27.69,-0.0%,27.69,+0.0%,378.54,13.7,+9.3%,-18.9%,-28.5%,-0.0%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.034,29.753,+6.1%,30.316,+1.9%,30.204,-0.4%,378.54,12.5,+7.7%,-18.9%,-28.5%,-0.0%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.635,33.021,+4.4%,33.303,+0.9%,33.158,-0.4%,378.54,11.4,+4.8%,-18.9%,-28.5%,-0.0%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.838,36.79,+2.7%,37.671,+2.4%,37.137,-1.4%,378.54,10.2,+3.6%,-18.9%,-28.5%,-0.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,21.799,14.948,-31.4%,14.947,-0.0%,14.947,+0.0%,380.31,25.4,-31.4%,+15.2%,+29.7%,+27.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,25.351,16.41,-35.3%,16.892,+2.9%,17.157,+1.6%,380.31,22.2,-32.3%,+15.2%,+29.7%,+27.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,28.596,19.336,-32.4%,18.373,-5.0%,18.761,+2.1%,380.31,20.3,-34.4%,+15.2%,+29.7%,+27.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,32.685,23.685,-27.5%,21.988,-7.2%,23.038,+4.8%,380.31,16.5,-29.5%,+15.2%,+29.7%,+27.5%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.958,10.195,+2.4%,10.239,+0.4%,10.239,+0.0%,418.45,40.9,+2.8%,+37.7%,+11.7%,+112.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.502,11.972,+4.1%,14.28,+19.3%,15.633,+9.5%,418.45,26.8,+35.9%,+37.7%,+11.7%,+112.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.315,14.255,+7.1%,17.577,+23.3%,19.59,+11.5%,418.45,21.4,+47.1%,+37.7%,+11.7%,+112.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,14.983,16.458,+9.8%,20.643,+25.4%,23.52,+13.9%,418.45,17.8,+57.0%,+37.7%,+11.7%,+112.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.647,4.247,-8.6%,4.247,+0.0%,4.247,+0.0%,446.77,105.2,-8.6%,+29.1%,+39.8%,+84.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.046,6.699,+10.8%,8.151,+21.7%,9.07,+11.3%,446.77,49.3,+50.0%,+29.1%,+39.8%,+84.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,6.922,9.834,+42.1%,11.928,+21.3%,15.902,+33.3%,446.77,28.1,+129.7%,+29.1%,+39.8%,+84.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,9.795,13.273,+35.5%,15.358,+15.7%,19.547,+27.3%,446.77,22.9,+99.6%,+29.1%,+39.8%,+84.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.101,4.623,+12.7%,4.626,+0.1%,4.626,+0.0%,211.14,45.6,+12.8%,+13.2%,+19.2%,+51.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.411,7.297,+34.9%,8.143,+11.6%,9.196,+12.9%,211.14,23.0,+70.0%,+13.2%,+19.2%,+51.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.2,9.099,+46.8%,10.631,+16.8%,12.67,+19.2%,211.14,16.7,+104.4%,+13.2%,+19.2%,+51.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,7.29,9.964,+36.7%,12.386,+24.3%,14.808,+19.6%,211.14,14.3,+103.1%,+13.2%,+19.2%,+51.7%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,25.515,22.923,-10.2%,22.814,-0.5%,22.814,+0.0%,632.51,27.7,-10.6%,-4.2%,-2.4%,-1.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,28.319,29.648,+4.7%,29.545,-0.3%,32.24,+9.1%,632.51,19.6,+13.8%,-4.2%,-2.4%,-1.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,32.515,33.447,+2.9%,34.393,+2.8%,34.909,+1.5%,632.51,18.1,+7.4%,-4.2%,-2.4%,-1.9%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,38.075,38.788,+1.9%,40.525,+4.5%,40.46,-0.2%,632.51,15.6,+6.3%,-4.2%,-2.4%,-1.9%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.22,7.091,+14.0%,7.102,+0.2%,7.102,+0.0%,270.64,38.1,+14.2%,+17.3%,+28.9%,+31.6%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.273,7.902,+8.6%,7.799,-1.3%,8.791,+12.7%,270.64,30.8,+20.9%,+17.3%,+28.9%,+31.6%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,8.916,9.611,+7.8%,9.397,-2.2%,10.033,+6.8%,270.64,27.0,+12.5%,+17.3%,+28.9%,+31.6%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.51,11.187,+6.4%,11.611,+3.8%,12.942,+11.5%,270.64,20.9,+23.1%,+17.3%,+28.9%,+31.6%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,18.577,20.296,+9.3%,19.774,-2.6%,19.774,+0.0%,299.31,15.1,+6.4%,-7.1%,-0.3%,+13.2%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,19.6,21.18,+8.1%,21.596,+2.0%,22.324,+3.4%,299.31,13.4,+13.9%,-7.1%,-0.3%,+13.2%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.046,22.882,+8.7%,23.215,+1.5%,23.462,+1.1%,299.31,12.8,+11.5%,-7.1%,-0.3%,+13.2%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,20.1,23.35,+16.2%,25.585,+9.6%,25.819,+0.9%,299.31,11.6,+28.5%,-7.1%,-0.3%,+13.2%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2025,7.726,7.992,+3.4%,7.955,-0.5%,7.955,+0.0%,128.71,16.2,+3.0%,-11.1%,+23.0%,-2.3%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2026,9.358,9.152,-2.2%,9.262,+1.2%,8.942,-3.5%,128.71,14.4,-4.4%,-11.1%,+23.0%,-2.3%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2027,11.058,10.988,-0.6%,10.888,-0.9%,10.722,-1.5%,128.71,12.0,-3.0%,-11.1%,+23.0%,-2.3%
