Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.332,27.694,+9.3%,27.69,-0.0%,27.69,+0.0%,387.18,14.0,+9.3%,-17.1%,-27.3%,+4.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.018,29.735,+6.1%,30.345,+2.1%,30.153,-0.6%,387.18,12.8,+7.6%,-17.1%,-27.3%,+4.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.604,32.983,+4.4%,33.372,+1.2%,33.132,-0.7%,387.18,11.7,+4.8%,-17.1%,-27.3%,+4.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,36.22,36.79,+1.6%,37.648,+2.3%,37.086,-1.5%,387.18,10.4,+2.4%,-17.1%,-27.3%,+4.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,20.938,14.944,-28.6%,14.947,+0.0%,14.947,+0.0%,408.52,27.3,-28.6%,+23.8%,+47.5%,+28.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,24.589,16.407,-33.3%,16.826,+2.6%,17.152,+1.9%,408.52,23.8,-30.2%,+23.8%,+47.5%,+28.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,28.524,19.376,-32.1%,18.439,-4.8%,18.776,+1.8%,408.52,21.8,-34.2%,+23.8%,+47.5%,+28.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,32.685,23.709,-27.5%,21.733,-8.3%,23.038,+6.0%,408.52,17.7,-29.5%,+23.8%,+47.5%,+28.3%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.913,10.265,+3.6%,10.239,-0.3%,10.239,+0.0%,423.93,41.4,+3.3%,+39.5%,+25.9%,+96.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.491,12.335,+7.3%,14.053,+13.9%,15.559,+10.7%,423.93,27.2,+35.4%,+39.5%,+25.9%,+96.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.248,14.375,+8.5%,17.247,+20.0%,19.501,+13.1%,423.93,21.7,+47.2%,+39.5%,+25.9%,+96.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.04,16.458,+9.4%,20.463,+24.3%,23.742,+16.0%,423.93,17.9,+57.9%,+39.5%,+25.9%,+96.8%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.517,4.247,-6.0%,4.247,+0.0%,4.247,+0.0%,382.07,90.0,-6.0%,+10.4%,+13.7%,+49.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,5.979,7.859,+31.4%,8.896,+13.2%,9.315,+4.7%,382.07,41.0,+55.8%,+10.4%,+13.7%,+49.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.268,11.588,+59.4%,14.662,+26.5%,16.97,+15.7%,382.07,22.5,+133.5%,+10.4%,+13.7%,+49.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,9.88,14.698,+48.8%,18.006,+22.5%,23.543,+30.8%,382.07,16.2,+138.3%,+10.4%,+13.7%,+49.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.085,4.614,+12.9%,4.626,+0.3%,4.626,+0.0%,205.19,44.4,+13.2%,+10.0%,+12.0%,+41.5%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.416,7.309,+35.0%,8.214,+12.4%,9.217,+12.2%,205.19,22.3,+70.2%,+10.0%,+12.0%,+41.5%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.2,9.19,+48.2%,10.668,+16.1%,12.752,+19.5%,205.19,16.1,+105.7%,+10.0%,+12.0%,+41.5%
