Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,386.92,,,,-17.1%,-21.8%,+2.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,409.25,,,,+24.0%,+51.8%,+36.1%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,436.39,,,,+43.6%,+28.9%,+107.5%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,380.15,,,,+9.8%,+17.9%,+49.8%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,200.04,,,,+7.3%,+13.9%,+38.8%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,562.2,,,,-14.8%,-6.9%,-19.5%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,234.11,,,,+1.4%,+11.4%,+12.3%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,334.14,,,,+3.7%,+15.3%,+20.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,130.61,,,,-9.8%,+18.3%,-2.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,215.69,,,,+0.7%,+5.2%,-13.9%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,64.83,,,,-23.2%,+8.2%,+1.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,467.02,,,,-30.7%,+1.8%,+39.2%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,159.71,,,,-28.5%,-13.8%,-43.0%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1099.41,,,,-35.0%,+3.4%,-41.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,346.08,,,,+10.3%,+15.7%,+108.5%
