Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,410.5,,,,-12.1%,-13.0%,+9.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,425.36,,,,+28.9%,+53.4%,+37.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,434.16,,,,+42.9%,+28.1%,+84.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,360.45,,,,+4.1%,+14.6%,+31.0%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,194.83,,,,+4.5%,+9.8%,+22.3%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,582.9,,,,-11.7%,+1.5%,-18.9%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,242.67,,,,+5.1%,+15.7%,+8.6%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,334.47,,,,+3.8%,+13.5%,+13.0%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,118.61,,,,-18.1%,+10.8%,-17.9%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,232.22,,,,+8.4%,+18.9%,-5.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,68.6,,,,-18.7%,+9.3%,-1.5%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,527.06,,,,-21.8%,+36.4%,+54.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,192.74,,,,-13.7%,+10.8%,-32.2%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1270.83,,,,-24.8%,+16.6%,-31.5%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,356.18,,,,+13.5%,+21.0%,+97.3%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,975.56,,,,+241.8%,+166.4%,+697.7%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,112.73,,,,-0.3%,+63.6%,+19.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1348.49,,,,+1.4%,+15.6%,-5.4%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,377.52,,,,+22.6%,+34.3%,+52.9%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,351.41,,,,+105.3%,+60.9%,+255.6%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,192.01,,,,-15.2%,+22.7%,-19.6%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,74.43,,,,-8.9%,+3.6%,-20.5%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1213.91,,,,+13.0%,+29.7%,+55.5%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,390.49,,,,-19.3%,+4.6%,-21.7%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,362.13,,,,+3.3%,+20.4%,+0.9%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,122.78,,,,-20.3%,+8.6%,-20.9%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,184.56,,,,-13.8%,+10.0%,-19.3%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,338.12,,,,+17.7%,+10.9%,+23.7%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,91.33,,,,+42.0%,+34.8%,+57.5%
