Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,372.13,,,,-20.3%,-30.4%,-2.5%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,399.47,,,,+21.0%,+38.3%,+35.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,415.17,,,,+36.6%,+17.3%,+104.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,385.73,,,,+11.5%,+15.9%,+48.4%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,205.1,,,,+10.0%,+11.9%,+46.5%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,593.0,,,,-10.2%,-10.2%,-13.4%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,246.03,,,,+6.6%,+12.4%,+18.3%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,312.37,,,,-3.1%,+6.4%,+19.2%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,128.03,,,,-11.6%,+15.1%,-1.7%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,204.02,,,,-4.8%,-3.1%,-22.6%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,66.51,,,,-21.2%,+0.4%,-3.1%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,557.2,,,,-17.3%,+9.6%,+34.5%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,172.61,,,,-22.7%,-12.0%,-40.5%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1137.33,,,,-32.7%,-22.9%,-35.8%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,365.76,,,,+16.6%,+21.6%,+115.4%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,864.01,,,,+202.7%,+117.6%,+712.9%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,82.47,,,,-27.1%,+2.4%,+13.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1238.74,,,,-6.9%,-4.3%,-8.3%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,328.0,,,,+6.5%,+0.3%,+30.2%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,303.28,,,,+77.2%,+41.3%,+257.2%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,156.8,,,,-30.8%,-14.5%,-27.4%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,70.71,,,,-13.5%,-6.3%,-16.5%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1131.42,,,,+5.3%,+15.1%,+47.8%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,416.67,,,,-13.8%,+1.5%,-10.9%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,323.57,,,,-7.7%,+1.2%,-11.8%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,115.35,,,,-25.2%,-0.2%,-16.3%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,165.84,,,,-22.6%,-10.1%,-25.6%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,343.1,,,,+19.4%,+11.6%,+38.1%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,84.4,,,,+31.2%,+24.0%,+63.2%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,250.11,,,,+26.9%,+30.1%,+41.8%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,971.87,,,,+12.7%,-1.1%,-3.9%
