Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,26.268,27.69,+5.4%,27.69,+0.0%,27.69,+0.0%,404.68,14.6,+5.4%,-13.3%,-6.5%,+2.8%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.098,30.296,+7.8%,30.217,-0.3%,29.493,-2.4%,404.68,13.7,+5.0%,-13.3%,-6.5%,+2.8%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.358,33.32,+6.3%,33.196,-0.4%,32.118,-3.2%,404.68,12.6,+2.4%,-13.3%,-6.5%,+2.8%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.036,37.671,+7.5%,37.286,-1.0%,35.232,-5.5%,404.68,11.5,+0.6%,-13.3%,-6.5%,+2.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,14.829,14.947,+0.8%,14.947,+0.0%,14.947,+0.0%,401.73,26.9,+0.8%,+21.7%,+0.7%,+48.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,16.302,16.892,+3.6%,17.286,+2.3%,18.545,+7.3%,401.73,21.7,+13.8%,+21.7%,+0.7%,+48.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,19.076,17.563,-7.9%,19.605,+11.6%,21.458,+9.5%,401.73,18.7,+12.5%,+21.7%,+0.7%,+48.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,24.709,21.988,-11.0%,22.964,+4.4%,24.821,+8.1%,401.73,16.2,+0.5%,+21.7%,+0.7%,+48.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.863,10.239,+3.8%,10.239,+0.0%,10.239,+0.0%,426.35,41.6,+3.8%,+40.3%,+2.1%,+76.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.169,14.136,+26.6%,15.564,+10.1%,16.735,+7.5%,426.35,25.5,+49.8%,+40.3%,+2.1%,+76.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.165,17.536,+33.2%,19.495,+11.2%,21.811,+11.9%,426.35,19.5,+65.7%,+40.3%,+2.1%,+76.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.296,20.482,+33.9%,23.309,+13.8%,27.242,+16.9%,426.35,15.7,+78.1%,+40.3%,+2.1%,+76.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.548,4.247,-6.6%,4.247,+0.0%,4.247,+0.0%,392.99,92.5,-6.6%,+13.5%,-10.6%,+26.3%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.026,8.088,+34.2%,9.151,+13.1%,9.299,+1.6%,392.99,42.3,+54.3%,+13.5%,-10.6%,+26.3%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.957,11.866,+49.1%,15.846,+33.5%,17.107,+8.0%,392.99,23.0,+115.0%,+13.5%,-10.6%,+26.3%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,9.947,15.592,+56.8%,19.699,+26.3%,23.564,+19.6%,392.99,16.7,+136.9%,+13.5%,-10.6%,+26.3%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.142,4.615,+11.4%,4.626,+0.2%,4.626,+0.0%,225.16,48.7,+11.7%,+20.7%,-4.5%,+23.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.583,7.412,+32.8%,8.303,+12.0%,9.569,+15.2%,225.16,23.5,+71.4%,+20.7%,-4.5%,+23.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.546,9.429,+44.0%,11.18,+18.6%,13.293,+18.9%,225.16,16.9,+103.1%,+20.7%,-4.5%,+23.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,7.474,10.444,+39.7%,13.012,+24.6%,16.145,+24.1%,225.16,13.9,+116.0%,+20.7%,-4.5%,+23.7%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,28.105,22.814,-18.8%,22.814,+0.0%,22.814,+0.0%,589.85,25.9,-18.8%,-10.6%,-4.6%,-24.6%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,29.862,29.674,-0.6%,32.235,+8.6%,31.577,-2.0%,589.85,18.7,+5.7%,-10.6%,-4.6%,-24.6%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,34.215,34.368,+0.4%,34.909,+1.6%,33.763,-3.3%,589.85,17.5,-1.3%,-10.6%,-4.6%,-24.6%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,39.98,40.469,+1.2%,40.409,-0.1%,38.645,-4.4%,589.85,15.3,-3.3%,-10.6%,-4.6%,-24.6%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.587,7.102,+7.8%,7.102,+0.0%,7.102,+0.0%,262.65,37.0,+7.8%,+13.8%,-1.7%,+13.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.556,7.805,+3.3%,8.782,+12.5%,12.662,+44.2%,262.65,20.7,+67.6%,+13.8%,-1.7%,+13.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,9.285,9.429,+1.6%,10.004,+6.1%,10.764,+7.6%,262.65,24.4,+15.9%,+13.8%,-1.7%,+13.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.925,11.655,+6.7%,13.04,+11.9%,14.047,+7.7%,262.65,18.7,+28.6%,+13.8%,-1.7%,+13.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,19.793,19.774,-0.1%,19.774,+0.0%,19.774,+0.0%,362.84,18.3,-0.1%,+12.6%,+21.0%,+23.3%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,20.535,21.333,+3.9%,22.324,+4.6%,24.897,+11.5%,362.84,14.6,+21.2%,+12.6%,+21.0%,+23.3%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.768,23.039,+5.8%,23.462,+1.8%,25.16,+7.2%,362.84,14.4,+15.6%,+12.6%,+21.0%,+23.3%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,21.9,25.585,+16.8%,25.819,+0.9%,27.453,+6.3%,362.84,13.2,+25.4%,+12.6%,+21.0%,+23.3%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2025,7.742,7.955,+2.8%,7.955,+0.0%,7.955,+0.0%,140.76,17.7,+2.8%,-2.8%,+3.9%,+0.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2026,9.173,9.241,+0.7%,8.936,-3.3%,8.76,-2.0%,140.76,16.1,-4.5%,-2.8%,+3.9%,+0.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2027,10.82,10.911,+0.8%,10.768,-1.3%,10.734,-0.3%,140.76,13.1,-0.8%,-2.8%,+3.9%,+0.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2028,12.62,12.781,+1.3%,12.466,-2.5%,12.472,+0.0%,140.76,11.3,-1.2%,-2.8%,+3.9%,+0.1%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2025,17.302,17.902,+3.5%,17.902,+0.0%,17.902,+0.0%,209.6,11.7,+3.5%,-2.2%,+6.5%,-11.2%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2026,16.349,16.019,-2.0%,16.267,+1.5%,17.652,+8.5%,209.6,11.9,+8.0%,-2.2%,+6.5%,-11.2%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2027,16.796,16.191,-3.6%,16.259,+0.4%,16.298,+0.2%,209.6,12.9,-3.0%,-2.2%,+6.5%,-11.2%
