Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,26.292,27.69,+5.3%,27.69,+0.0%,27.69,+0.0%,410.89,14.8,+5.3%,-12.0%,+11.9%,+1.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.121,30.3,+7.7%,30.153,-0.5%,29.48,-2.2%,410.89,13.9,+4.8%,-12.0%,+11.9%,+1.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.358,33.295,+6.2%,33.132,-0.5%,32.053,-3.3%,410.89,12.8,+2.2%,-12.0%,+11.9%,+1.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.4,37.648,+6.4%,37.086,-1.5%,35.149,-5.2%,410.89,11.7,-0.7%,-12.0%,+11.9%,+1.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,14.829,14.947,+0.8%,14.947,+0.0%,14.947,+0.0%,397.67,26.6,+0.8%,+20.5%,+5.2%,+28.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,16.302,16.892,+3.6%,17.152,+1.5%,18.577,+8.3%,397.67,21.4,+14.0%,+20.5%,+5.2%,+28.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,19.024,17.563,-7.7%,19.709,+12.2%,21.464,+8.9%,397.67,18.5,+12.8%,+20.5%,+5.2%,+28.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,23.98,21.988,-8.3%,23.038,+4.8%,24.792,+7.6%,397.67,16.0,+3.4%,+20.5%,+5.2%,+28.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.652,10.239,+6.1%,10.239,+0.0%,10.239,+0.0%,415.09,40.5,+6.1%,+36.6%,-7.1%,+81.7%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,10.949,14.129,+29.0%,15.643,+10.7%,16.902,+8.0%,415.09,24.6,+54.4%,+36.6%,-7.1%,+81.7%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,12.922,17.598,+36.2%,19.583,+11.3%,22.126,+13.0%,415.09,18.8,+71.2%,+36.6%,-7.1%,+81.7%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.084,20.653,+36.9%,23.53,+13.9%,27.185,+15.5%,415.09,15.3,+80.2%,+36.6%,-7.1%,+81.7%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.549,4.247,-6.6%,4.247,+0.0%,4.247,+0.0%,365.52,86.1,-6.6%,+5.6%,-24.1%,+22.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.047,8.783,+45.2%,9.237,+5.2%,9.325,+1.0%,365.52,39.2,+54.2%,+5.6%,-24.1%,+22.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.999,14.384,+79.8%,16.82,+16.9%,17.11,+1.7%,365.52,21.4,+113.9%,+5.6%,-24.1%,+22.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,10.05,17.478,+73.9%,22.559,+29.1%,23.487,+4.1%,365.52,15.6,+133.7%,+5.6%,-24.1%,+22.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.361,4.625,+6.1%,4.625,+0.0%,4.625,+0.0%,219.665,47.5,+6.1%,+17.8%,-1.4%,+28.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,6.061,8.224,+35.7%,9.259,+12.6%,9.872,+6.6%,219.665,22.3,+62.9%,+17.8%,-1.4%,+28.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,7.108,10.731,+51.0%,12.725,+18.6%,15.67,+23.1%,219.665,14.0,+120.5%,+17.8%,-1.4%,+28.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,8.128,12.406,+52.6%,15.002,+20.9%,20.361,+35.7%,219.665,10.8,+150.5%,+17.8%,-1.4%,+28.6%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,28.125,22.814,-18.9%,22.814,+0.0%,22.814,+0.0%,586.615,25.7,-18.9%,-11.1%,-1.8%,-20.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,29.872,29.553,-1.1%,32.817,+11.0%,31.356,-4.5%,586.615,18.7,+5.0%,-11.1%,-1.8%,-20.2%
