Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,26.292,27.69,+5.3%,27.69,+0.0%,27.69,+0.0%,413.58,14.9,+5.3%,-11.4%,+12.6%,+1.8%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.121,30.3,+7.7%,30.153,-0.5%,29.48,-2.2%,413.58,14.0,+4.8%,-11.4%,+12.6%,+1.8%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.358,33.295,+6.2%,33.132,-0.5%,32.053,-3.3%,413.58,12.9,+2.2%,-11.4%,+12.6%,+1.8%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.4,37.648,+6.4%,37.086,-1.5%,35.149,-5.2%,413.58,11.8,-0.7%,-11.4%,+12.6%,+1.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,14.829,14.947,+0.8%,14.947,+0.0%,14.947,+0.0%,396.3,26.5,+0.8%,+20.1%,+4.9%,+28.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,16.302,16.892,+3.6%,17.157,+1.6%,18.577,+8.3%,396.3,21.3,+14.0%,+20.1%,+4.9%,+28.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,19.024,17.563,-7.7%,19.693,+12.1%,21.464,+9.0%,396.3,18.5,+12.8%,+20.1%,+4.9%,+28.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,23.98,21.988,-8.3%,23.038,+4.8%,24.792,+7.6%,396.3,16.0,+3.4%,+20.1%,+4.9%,+28.3%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.671,10.239,+5.9%,10.239,+0.0%,10.239,+0.0%,414.0,40.4,+5.9%,+36.2%,-7.3%,+81.3%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,10.97,14.13,+28.8%,15.628,+10.6%,16.895,+8.1%,414.0,24.5,+54.0%,+36.2%,-7.3%,+81.3%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,12.948,17.598,+35.9%,19.565,+11.2%,22.117,+13.0%,414.0,18.7,+70.8%,+36.2%,-7.3%,+81.3%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.084,20.653,+36.9%,23.507,+13.8%,27.185,+15.6%,414.0,15.2,+80.2%,+36.2%,-7.3%,+81.3%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.549,4.247,-6.6%,4.247,+0.0%,4.247,+0.0%,369.68,87.0,-6.6%,+6.8%,-23.2%,+24.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.046,8.783,+45.3%,9.02,+2.7%,9.304,+3.1%,369.68,39.7,+53.9%,+6.8%,-23.2%,+24.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.981,14.384,+80.2%,16.427,+14.2%,17.055,+3.8%,369.68,21.7,+113.7%,+6.8%,-23.2%,+24.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,10.05,17.478,+73.9%,21.018,+20.3%,23.485,+11.7%,369.68,15.7,+133.7%,+6.8%,-23.2%,+24.0%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.36,4.625,+6.1%,4.625,+0.0%,4.625,+0.0%,217.44,47.0,+6.1%,+16.6%,-2.4%,+27.3%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,6.053,8.224,+35.9%,9.259,+12.6%,9.861,+6.5%,217.44,22.1,+62.9%,+16.6%,-2.4%,+27.3%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,7.064,10.731,+51.9%,12.725,+18.6%,15.662,+23.1%,217.44,13.9,+121.7%,+16.6%,-2.4%,+27.3%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,8.115,12.406,+52.9%,15.002,+20.9%,20.314,+35.4%,217.44,10.7,+150.3%,+16.6%,-2.4%,+27.3%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,28.125,22.814,-18.9%,22.814,+0.0%,22.814,+0.0%,578.54,25.4,-18.9%,-12.4%,-3.2%,-21.3%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,29.872,29.553,-1.1%,32.817,+11.0%,31.356,-4.5%,578.54,18.5,+5.0%,-12.4%,-3.2%,-21.3%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,34.16,34.424,+0.8%,35.119,+2.0%,33.809,-3.7%,578.54,17.1,-1.0%,-12.4%,-3.2%,-21.3%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,39.98,40.524,+1.4%,40.387,-0.3%,38.929,-3.6%,578.54,14.9,-2.6%,-12.4%,-3.2%,-21.3%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.641,7.102,+6.9%,7.102,+0.0%,7.102,+0.0%,254.92,35.9,+6.9%,+10.4%,-0.6%,+13.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.571,7.675,+1.4%,8.787,+14.5%,12.727,+44.8%,254.92,20.0,+68.1%,+10.4%,-0.6%,+13.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,9.207,9.289,+0.9%,9.991,+7.6%,10.769,+7.8%,254.92,23.7,+17.0%,+10.4%,-0.6%,+13.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.925,11.6,+6.2%,13.006,+12.1%,14.057,+8.1%,254.92,18.1,+28.7%,+10.4%,-0.6%,+13.1%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,19.793,19.774,-0.1%,19.774,+0.0%,19.774,+0.0%,354.95,18.0,-0.1%,+10.2%,+17.9%,+18.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,20.535,21.584,+5.1%,22.324,+3.4%,24.897,+11.5%,354.95,14.3,+21.2%,+10.2%,+17.9%,+18.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.768,23.175,+6.5%,23.462,+1.2%,25.162,+7.2%,354.95,14.1,+15.6%,+10.2%,+17.9%,+18.4%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,,25.371,,25.819,+1.8%,27.453,+6.3%,354.95,12.9,,+10.2%,+17.9%,+18.4%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2025,7.783,7.955,+2.2%,7.955,+0.0%,7.955,+0.0%,131.69,16.6,+2.2%,-9.0%,+2.3%,-3.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2026,9.291,9.13,-1.7%,8.942,-2.1%,8.755,-2.1%,131.69,15.0,-5.8%,-9.0%,+2.3%,-3.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2027,11.108,10.757,-3.2%,10.722,-0.3%,10.707,-0.1%,131.69,12.3,-3.6%,-9.0%,+2.3%,-3.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2028,12.62,12.739,+0.9%,12.442,-2.3%,12.451,+0.1%,131.69,10.6,-1.3%,-9.0%,+2.3%,-3.1%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2025,17.461,17.902,+2.5%,17.902,+0.0%,17.902,+0.0%,220.54,12.3,+2.5%,+3.0%,+12.1%,-4.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2026,16.381,16.181,-1.2%,16.276,+0.6%,17.918,+10.1%,220.54,12.3,+9.4%,+3.0%,+12.1%,-4.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2027,16.751,16.247,-3.0%,16.27,+0.1%,16.244,-0.2%,220.54,13.6,-3.0%,+3.0%,+12.1%,-4.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2028,17.653,16.146,-8.5%,16.545,+2.5%,16.158,-2.3%,220.54,13.6,-8.5%,+3.0%,+12.1%,-4.6%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2025,1.043,1.028,-1.4%,1.028,+0.0%,1.028,+0.0%,72.18,70.2,-1.4%,-14.5%,+10.0%,-1.5%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2026,1.407,1.478,+5.0%,1.514,+2.4%,1.692,+11.8%,72.18,42.7,+20.3%,-14.5%,+10.0%,-1.5%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2027,1.968,2.015,+2.4%,2.08,+3.2%,2.297,+10.4%,72.18,31.4,+16.7%,-14.5%,+10.0%,-1.5%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2028,2.664,2.485,-6.7%,2.646,+6.5%,2.756,+4.2%,72.18,26.2,+3.5%,-14.5%,+10.0%,-1.5%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2025,8.966,9.394,+4.8%,9.394,+0.0%,9.394,+0.0%,311.74,33.2,+4.8%,-53.7%,-48.5%,-35.3%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2026,13.235,15.467,+16.9%,15.743,+1.8%,15.736,-0.0%,311.74,19.8,+18.9%,-53.7%,-48.5%,-35.3%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2027,16.216,20.337,+25.4%,20.906,+2.8%,20.299,-2.9%,311.74,15.4,+25.2%,-53.7%,-48.5%,-35.3%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2028,20.081,25.766,+28.3%,26.37,+2.3%,25.658,-2.7%,311.74,12.1,+27.8%,-53.7%,-48.5%,-35.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2025,7.804,7.941,+1.8%,7.941,+0.0%,7.941,+0.0%,279.23,35.2,+1.8%,+25.1%,+52.6%,+3.4%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2026,8.425,8.835,+4.9%,9.007,+1.9%,9.236,+2.5%,279.23,30.2,+9.6%,+25.1%,+52.6%,+3.4%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2027,9.757,9.87,+1.2%,9.975,+1.1%,10.215,+2.4%,279.23,27.3,+4.7%,+25.1%,+52.6%,+3.4%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2028,11.243,11.057,-1.7%,11.23,+1.6%,11.561,+2.9%,279.23,24.2,+2.8%,+25.1%,+52.6%,+3.4%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2025,29.516,29.52,+0.0%,29.52,+0.0%,29.52,+0.0%,1103.68,37.4,+0.0%,-34.7%,-11.8%,-26.7%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2026,35.307,41.987,+18.9%,43.002,+2.4%,43.068,+0.2%,1103.68,25.6,+22.0%,-34.7%,-11.8%,-26.7%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2027,43.375,53.2,+22.7%,54.016,+1.5%,52.883,-2.1%,1103.68,20.9,+21.9%,-34.7%,-11.8%,-26.7%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2028,52.884,63.229,+19.6%,64.989,+2.8%,63.726,-1.9%,1103.68,17.3,+20.5%,-34.7%,-11.8%,-26.7%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,9.928,10.598,+6.7%,10.598,+0.0%,10.598,+0.0%,332.03,31.3,+6.7%,+5.8%,-7.4%,+56.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,10.647,11.598,+8.9%,14.283,+23.2%,20.652,+44.6%,332.03,16.1,+94.0%,+5.8%,-7.4%,+56.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,12.089,13.495,+11.6%,14.643,+8.5%,15.047,+2.8%,332.03,22.1,+24.5%,+5.8%,-7.4%,+56.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,13.91,15.592,+12.1%,17.272,+10.8%,18.003,+4.2%,332.03,18.4,+29.4%,+5.8%,-7.4%,+56.6%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2025,7.344,7.42,+1.0%,7.42,+0.0%,7.42,+0.0%,933.44,125.8,+1.0%,+227.1%,-12.3%,+687.8%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2026,12.311,33.593,+172.9%,59.647,+77.6%,73.401,+23.1%,933.44,12.7,+496.2%,+227.1%,-12.3%,+687.8%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2027,15.026,45.798,+204.8%,105.179,+129.7%,156.074,+48.4%,933.44,6.0,+938.7%,+227.1%,-12.3%,+687.8%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2028,17.262,45.717,+164.8%,104.499,+128.6%,178.056,+70.4%,933.44,5.2,+931.5%,+227.1%,-12.3%,+687.8%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2025,1.709,2.066,+20.9%,2.066,+0.0%,2.066,+0.0%,103.51,50.1,+20.9%,-8.5%,+17.4%,+2.6%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2026,2.081,2.373,+14.0%,1.882,-20.7%,2.127,+13.0%,103.51,48.7,+2.2%,-8.5%,+17.4%,+2.6%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2027,2.319,2.844,+22.6%,2.552,-10.3%,2.862,+12.1%,103.51,36.2,+23.4%,-8.5%,+17.4%,+2.6%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2028,2.17,3.479,+60.3%,2.953,-15.1%,3.518,+19.1%,103.51,29.4,+62.1%,-8.5%,+17.4%,+2.6%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2025,36.941,36.616,-0.9%,36.616,+0.0%,36.616,+0.0%,1155.76,31.6,-0.9%,-13.1%,-7.3%,-11.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2026,42.356,39.025,-7.9%,39.994,+2.5%,41.182,+3.0%,1155.76,28.1,-2.8%,-13.1%,-7.3%,-11.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2027,48.753,45.683,-6.3%,47.101,+3.1%,48.41,+2.8%,1155.76,23.9,-0.7%,-13.1%,-7.3%,-11.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2028,50.97,52.548,+3.1%,54.371,+3.5%,54.789,+0.8%,1155.76,21.1,+7.5%,-13.1%,-7.3%,-11.4%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2025,6.235,6.907,+10.8%,6.907,+0.0%,6.907,+0.0%,331.09,47.9,+10.8%,+7.5%,+4.2%,+20.2%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2026,7.088,7.881,+11.2%,8.018,+1.7%,8.463,+5.6%,331.09,39.1,+19.4%,+7.5%,+4.2%,+20.2%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2027,8.203,8.908,+8.6%,9.203,+3.3%,9.608,+4.4%,331.09,34.5,+17.1%,+7.5%,+4.2%,+20.2%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2028,9.506,10.132,+6.6%,10.462,+3.3%,10.815,+3.4%,331.09,30.6,+13.8%,+7.5%,+4.2%,+20.2%
