Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,26.292,27.69,+5.3%,27.69,+0.0%,27.69,+0.0%,417.82,15.1,+5.3%,-10.5%,+10.4%,+3.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.121,30.316,+7.8%,30.204,-0.4%,29.48,-2.4%,417.82,14.2,+4.8%,-10.5%,+10.4%,+3.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.358,33.303,+6.2%,33.158,-0.4%,32.091,-3.2%,417.82,13.0,+2.3%,-10.5%,+10.4%,+3.4%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.4,37.671,+6.4%,37.137,-1.4%,35.149,-5.4%,417.82,11.9,-0.7%,-10.5%,+10.4%,+3.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,14.829,14.947,+0.8%,14.947,+0.0%,14.947,+0.0%,392.95,26.3,+0.8%,+19.0%,+3.3%,+26.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,16.302,16.892,+3.6%,17.157,+1.6%,18.577,+8.3%,392.95,21.2,+14.0%,+19.0%,+3.3%,+26.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,19.024,17.563,-7.7%,19.693,+12.1%,21.464,+9.0%,392.95,18.3,+12.8%,+19.0%,+3.3%,+26.8%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,23.98,21.988,-8.3%,23.038,+4.8%,24.792,+7.6%,392.95,15.8,+3.4%,+19.0%,+3.3%,+26.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.677,10.239,+5.8%,10.239,+0.0%,10.239,+0.0%,417.52,40.8,+5.8%,+37.4%,-0.2%,+80.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,10.976,14.305,+30.3%,15.622,+9.2%,16.806,+7.6%,417.52,24.8,+53.1%,+37.4%,-0.2%,+80.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,12.939,17.598,+36.0%,19.591,+11.3%,22.0,+12.3%,417.52,19.0,+70.0%,+37.4%,-0.2%,+80.8%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.084,20.653,+36.9%,23.52,+13.9%,27.008,+14.8%,417.52,15.5,+79.1%,+37.4%,-0.2%,+80.8%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.549,4.247,-6.6%,4.247,+0.0%,4.247,+0.0%,368.79,86.8,-6.6%,+6.6%,-17.5%,+24.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.046,8.179,+35.3%,9.034,+10.5%,9.304,+3.0%,368.79,39.6,+53.9%,+6.6%,-17.5%,+24.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.981,12.103,+51.6%,16.088,+32.9%,17.055,+6.0%,368.79,21.6,+113.7%,+6.6%,-17.5%,+24.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,10.05,15.358,+52.8%,19.97,+30.0%,23.485,+17.6%,368.79,15.7,+133.7%,+6.6%,-17.5%,+24.0%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.355,4.625,+6.2%,4.625,+0.0%,4.625,+0.0%,217.55,47.0,+6.2%,+16.6%,+3.0%,+24.9%
