Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,426.94,,,,-8.6%,+12.8%,+6.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,379.09,,,,+14.8%,-6.5%,+7.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,433.24,,,,+42.6%,+2.9%,+67.3%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,361.99,,,,+4.6%,-6.1%,+0.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,218.29,,,,+17.0%,+6.6%,+23.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,648.03,,,,-1.8%,+14.0%,-13.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,256.78,,,,+11.2%,+6.3%,+11.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,356.23,,,,+10.6%,+13.6%,+16.6%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,128.98,,,,-10.9%,-3.7%,-5.4%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,217.62,,,,+1.6%,+7.6%,-7.0%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,69.16,,,,-18.1%,+2.0%,-2.4%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,323.96,,,,-51.9%,-32.3%,-43.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,262.4,,,,+17.5%,+62.4%,-6.1%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,985.39,,,,-41.7%,-16.9%,-38.3%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,335.45,,,,+6.9%,-5.9%,+39.3%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,975.26,,,,+241.7%,-2.1%,+547.7%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,112.57,,,,-0.5%,+22.1%,-4.4%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1140.32,,,,-14.3%,-9.3%,-11.8%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,323.66,,,,+5.1%,-2.7%,+15.0%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,298.22,,,,+74.2%,-17.7%,+158.0%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,201.95,,,,-10.8%,+30.6%,-22.4%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,71.67,,,,-12.3%,+3.0%,-24.3%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1115.7,,,,+3.8%,-3.9%,+47.5%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,495.63,,,,+2.5%,+27.0%,-1.1%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,370.45,,,,+5.6%,+16.1%,+7.8%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,128.51,,,,-16.6%,+6.3%,-30.1%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,173.92,,,,-18.8%,+6.3%,-20.9%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,306.19,,,,+6.6%,-10.4%,+10.1%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,91.37,,,,+42.1%,+2.9%,+44.3%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,306.53,,,,+55.5%,+34.8%,+36.5%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,904.77,,,,+4.9%,-7.3%,-6.2%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,365.44,,,,-18.7%,-8.4%,-0.9%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,609.82,,,,+5.2%,+28.2%,+24.1%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,208.3,,,,-14.1%,+14.4%,-7.2%
AON,Watchlist,,Financials,Insurance,Adj,Dec,302.69,,,,-14.2%,-9.7%,-18.7%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,415.3,,,,-35.6%,-15.8%,-14.8%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,Adj,Jun,830.17,,,,+201.5%,-4.4%,+321.8%
SPX,Indices,Indices,,,Adj,Dec,7656.98,,,,+11.9%,+3.6%,+16.2%
QQQ,Indices,Indices,,,GAAP,Dec,714.88,,,,+16.4%,-0.3%,+22.4%
IWM,Indices,Indices,,,Adj,Dec,288.89,,,,+17.4%,-0.5%,+20.0%
SOX,Indices,Indices,,,Adj,Dec,11824.0,,,,+66.9%,-10.2%,+97.2%
IGV,Indices,Indices,,,Adj,Dec,101.52,,,,-3.9%,+11.7%,-9.7%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,141.5,,,,-1.6%,+2.6%,+14.0%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,569.19,,,,-0.3%,+17.0%,-3.3%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,766000.0,,,,+1.5%,+5.4%,+2.8%
CSU,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,2827.94,,,,-14.6%,-7.5%,-36.2%
DHR,Extended,Uncategorized,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,200.14,,,,-12.6%,+10.7%,+2.6%
AAPL,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,GAAP,Sep,332.27,,,,+22.2%,+12.4%,+44.4%
NFLX,Extended,Uncategorized,Communication Services,Media & Entertainment,GAAP,Dec,77.4,,,,-17.4%,-4.8%,-35.7%
QCOM,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,Adj,Sep,181.97,,,,+6.4%,-10.3%,+12.7%
UMG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,14.605,,,,-34.3%,-17.6%,-40.6%
ASML,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,1478.4,,,,+60.5%,-6.2%,+115.5%
AMAT,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,456.49,,,,+77.6%,-17.4%,+168.3%
KLAC,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,180.64,,,,+48.7%,-25.1%,+88.3%
KKR,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,101.08,,,,-20.7%,+6.1%,-30.3%
BAM,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,47.26,,,,-9.8%,+1.4%,-16.7%
ARES,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,131.64,,,,-18.6%,-0.9%,-28.7%
OWL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,10.56,,,,-29.3%,+8.6%,-43.7%
CG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,42.34,,,,-28.4%,-5.0%,-37.2%
BN,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,38.22,,,,-16.7%,-15.1%,-16.7%
TPG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,47.69,,,,-25.3%,+11.7%,-23.2%
BEP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,30.39,,,,+12.7%,-14.1%,+21.3%
BIP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,36.88,,,,+6.2%,-3.9%,+19.0%
MAR,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,334.69,,,,+7.9%,-15.7%,+24.9%
DPZ,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,311.6,,,,-25.2%,-0.2%,-31.8%
CMG,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,36.2,,,,-2.2%,+15.8%,-7.1%
MCO,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,474.95,,,,-7.0%,+7.5%,-8.4%
SPGI,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,410.71,,,,-16.9%,+5.1%,-21.2%
MSCI,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,554.61,,,,-3.3%,-6.7%,-5.3%
CSGP,Extended,Uncategorized,Real Estate,Real Estate Management & Devel,Adj,Dec,30.46,,,,-54.7%,-6.7%,-65.0%
LPLA,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,353.78,,,,-0.9%,+23.9%,+1.7%
SCHW,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,107.25,,,,+7.3%,+20.9%,+14.2%
CRM,Extended,Uncategorized,Information Technology,Software & Services,GAAP,Jan,247.72,,,,-6.5%,+48.8%,+0.6%
WDAY,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jan,185.7,,,,-13.5%,+42.3%,-18.1%
ADBE,Extended,Uncategorized,Information Technology,Software & Services,Adj,Nov,252.23,,,,-27.9%,+15.3%,-28.0%
SHOP,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,128.79,,,,-20.0%,+16.6%,-11.2%
GWRE,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jul,140.92,,,,-29.9%,+18.9%,-44.3%
NOW,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,132.53,,,,-13.5%,+28.6%,-29.4%
ELV,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,418.72,,,,+19.4%,+4.9%,+33.0%
ISRG,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,369.15,,,,-34.8%,-10.6%,-19.0%
BLDR,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,60.37,,,,-41.3%,-23.2%,-58.8%
