Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,405.0,,,,-13.3%,+11.9%,-1.6%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,397.14,,,,+20.3%,+0.2%,+28.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,428.91,,,,+41.1%,-3.6%,+82.4%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,357.895,,,,+3.4%,-14.6%,+16.9%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,230.36,,,,+23.5%,+5.4%,+34.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,616.77,,,,-6.6%,-1.7%,-17.6%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,258.51,,,,+12.0%,+1.9%,+9.7%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,358.64,,,,+11.3%,+15.4%,+18.0%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,133.67,,,,-7.7%,+4.1%,-0.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,218.95,,,,+2.2%,+12.1%,-6.5%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,74.59,,,,-11.6%,+12.7%,+0.8%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,320.56,,,,-52.4%,-42.6%,-35.9%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,275.09,,,,+23.2%,+54.0%,+1.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,932.26,,,,-44.9%,-20.1%,-38.6%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,335.31,,,,+6.9%,-9.2%,+44.1%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,1016.59,,,,+256.2%,+2.1%,+718.4%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,122.11,,,,+8.0%,+38.2%,+18.7%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1162.05,,,,-12.6%,-5.4%,-9.3%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,337.12,,,,+9.4%,+2.9%,+19.4%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,307.65,,,,+79.7%,-8.5%,+206.4%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,211.73,,,,-6.5%,+32.3%,-14.9%
