Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,423.0,,,,-9.4%,-20.9%,+9.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,393.85,,,,+19.3%,+36.2%,+34.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,404.35,,,,+33.1%,+11.0%,+108.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,425.19,,,,+22.9%,+27.9%,+86.0%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,225.32,,,,+20.8%,+21.8%,+66.4%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,614.23,,,,-6.9%,-3.9%,-4.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,264.14,,,,+14.4%,+31.3%,+28.5%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,297.81,,,,-7.6%,-3.0%,+11.3%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,135.38,,,,-6.5%,+8.2%,-5.9%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,199.73,,,,-6.8%,-3.9%,-25.8%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,67.17,,,,-20.4%,-4.3%,+12.0%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,501.0,,,,-25.6%,+33.1%,+38.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,158.86,,,,-28.8%,-10.2%,-34.6%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1098.59,,,,-35.0%,-18.7%,-50.1%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,393.32,,,,+25.3%,+29.9%,+134.9%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,724.66,,,,+153.9%,+81.3%,+639.4%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,77.14,,,,-31.8%,+2.3%,+24.9%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1148.97,,,,-13.6%,-11.8%,-13.7%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,281.53,,,,-8.6%,-13.9%,+21.5%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,284.72,,,,+66.3%,+20.9%,+237.2%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,159.2,,,,-29.7%,-1.9%,-21.2%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,75.09,,,,-8.1%,+6.5%,-18.2%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1004.92,,,,-6.5%,-3.0%,+32.7%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,421.92,,,,-12.8%,+6.3%,-7.1%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,325.75,,,,-7.1%,+2.0%,-10.8%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,117.89,,,,-23.5%,-10.3%,-19.6%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,154.13,,,,-28.0%,-6.9%,-27.5%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,316.17,,,,+10.1%,-0.5%,+23.6%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,87.0,,,,+35.3%,+18.7%,+66.4%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,197.56,,,,+0.2%,+2.0%,+25.7%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,1048.95,,,,+21.6%,+3.6%,+2.3%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,422.24,,,,-6.1%,+2.8%,+20.6%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,438.34,,,,-24.4%,-12.6%,+6.4%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,187.17,,,,-22.8%,-9.5%,-5.1%
AON,Watchlist,,Financials,Insurance,Adj,Dec,317.22,,,,-10.1%,-2.7%,-12.4%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,455.6,,,,-29.4%,-13.7%,-9.6%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,Adj,Jun,795.47,,,,+188.9%,+91.2%,+638.0%
SPX,Indices,Indices,,,Adj,Dec,7408.5,,,,+8.2%,+7.7%,+24.3%
QQQ,Indices,Indices,,,GAAP,Dec,708.93,,,,+15.4%,+17.9%,+35.9%
IWM,Indices,Indices,,,Adj,Dec,277.6,,,,+12.8%,+5.5%,+32.3%
SOX,Indices,Indices,,,Adj,Dec,11588.46,,,,+63.6%,+41.1%,+135.4%
IGV,Indices,Indices,,,Adj,Dec,91.78,,,,-13.2%,+13.4%,-12.7%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,139.77,,,,-2.8%,-8.4%,+23.6%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,494.2,,,,-13.4%,-5.3%,-15.3%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,723821.0,,,,-4.1%,-4.1%,-6.1%
CSU,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,2612.34,,,,-21.1%,+15.0%,-48.4%
DHR,Extended,Uncategorized,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,161.91,,,,-29.3%,-21.5%,-17.4%
AAPL,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,GAAP,Sep,300.23,,,,+10.4%,+13.8%,+42.1%
NFLX,Extended,Uncategorized,Communication Services,Media & Entertainment,GAAP,Dec,87.02,,,,-7.2%,+13.0%,-27.0%
QCOM,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Sep,201.49,,,,+17.8%,+41.3%,+32.1%
UMG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,20.53,,,,-7.6%,+5.5%,-24.7%
ASML,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,1306.6,,,,+41.8%,+9.0%,+95.5%
AMAT,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,436.62,,,,+69.9%,+21.6%,+163.7%
KLAC,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,1804.32,,,,+48.5%,+22.7%,+128.1%
KKR,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,96.97,,,,-23.9%,-5.4%,-23.0%
BAM,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,47.92,,,,-8.5%,-8.1%,-19.7%
ARES,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,123.41,,,,-23.6%,-5.4%,-27.5%
OWL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,9.46,,,,-36.7%,-21.7%,-51.5%
CG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,48.02,,,,-18.8%,-11.5%,+1.3%
BN,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,45.54,,,,-0.8%,-4.7%,+14.3%
TPG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,41.79,,,,-34.5%,-10.9%,-19.5%
BEP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,34.37,,,,+27.4%,+7.3%,+40.3%
BIP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,37.95,,,,+9.2%,-1.9%,+15.4%
MAR,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,353.17,,,,+13.8%,-1.9%,+29.3%
