Ticker,Group,EPS Type,FYE,Year,Q2 2023,Q3 2023,Q3 2023 chg,Q4 2023,Q4 2023 chg,Q1 2024,Q1 2024 chg,Q2 2024,Q2 2024 chg,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
TSM,Portfolio,GAAP,Dec,CY2027,8.802,8.286,-5.9%,8.981,+8.4%,9.254,+3.0%,9.989,+7.9%,11.376,+13.9%,11.984,+5.3%,12.399,+3.5%,13.66,+10.2%,13.36,-2.2%,14.395,+7.7%,17.239,+19.8%,339.04,19.7,+39.0%,+11.6%,+6.1%,+131.0%
TSM,Portfolio,GAAP,Dec,CY2028,10.85,10.113,-6.8%,10.707,+5.9%,10.514,-1.8%,11.445,+8.9%,13.131,+14.7%,13.848,+5.5%,13.251,-4.3%,15.04,+13.5%,15.4,+2.4%,16.147,+4.9%,20.339,+26.0%,339.04,16.7,+53.5%,+11.6%,+6.1%,+131.0%
AVGO,Portfolio,GAAP,Oct,CY2025,4.104,4.529,+10.4%,4.769,+5.3%,3.692,-22.6%,3.838,+4.0%,3.988,+3.9%,3.958,-0.8%,4.658,+17.7%,4.529,-2.8%,4.231,-6.6%,4.247,+0.4%,,,314.55,74.1,+7.3%,-9.1%,-9.5%,+115.0%
AVGO,Portfolio,GAAP,Oct,CY2026,3.93,4.82,+22.6%,5.326,+10.5%,4.926,-7.5%,4.951,+0.5%,4.814,-2.8%,5.364,+11.4%,5.907,+10.1%,6.133,+3.8%,6.443,+5.1%,7.913,+22.8%,9.123,+15.3%,314.55,34.5,+54.4%,-9.1%,-9.5%,+115.0%
AVGO,Portfolio,GAAP,Oct,CY2027,4.24,5.3,+25.0%,5.57,+5.1%,5.155,-7.5%,6.675,+29.5%,31.08,+365.6%,6.586,-78.8%,6.902,+4.8%,7.674,+11.2%,8.982,+17.0%,11.63,+29.5%,15.275,+31.3%,314.55,20.6,+121.3%,-9.1%,-9.5%,+115.0%
AVGO,Portfolio,GAAP,Oct,CY2028,,,,6.215,,5.88,-5.4%,7.695,+30.9%,8.92,+15.9%,9.69,+8.6%,10.34,+6.7%,9.88,-4.4%,11.298,+14.4%,15.027,+33.0%,18.898,+25.8%,314.55,16.6,+82.8%,-9.1%,-9.5%,+115.0%
NVDA,Portfolio,GAAP,Jan,CY2025,0.991,1.724,+74.0%,2.163,+25.5%,2.814,+30.1%,3.503,+24.5%,3.97,+13.3%,4.381,+10.4%,4.365,-0.4%,4.118,-5.7%,4.401,+6.9%,4.614,+4.8%,4.626,+0.3%,177.39,38.3,+6.0%,-4.9%,-6.1%,+88.1%
NVDA,Portfolio,GAAP,Jan,CY2026,1.307,1.806,+38.2%,2.251,+24.6%,3.084,+37.0%,4.039,+31.0%,4.961,+22.8%,5.517,+11.2%,5.508,-0.2%,5.475,-0.6%,6.202,+13.3%,7.332,+18.2%,8.198,+11.8%,177.39,21.6,+48.8%,-4.9%,-6.1%,+88.1%
NVDA,Portfolio,GAAP,Jan,CY2027,1.533,2.07,+35.0%,2.549,+23.1%,3.43,+34.6%,4.378,+27.6%,5.172,+18.1%,6.526,+26.2%,6.267,-4.0%,6.326,+0.9%,7.352,+16.2%,9.215,+25.3%,10.89,+18.2%,177.39,16.3,+73.8%,-4.9%,-6.1%,+88.1%
NVDA,Portfolio,GAAP,Jan,CY2028,1.574,1.988,+26.3%,2.708,+36.2%,3.57,+31.8%,4.568,+28.0%,4.803,+5.1%,7.158,+49.0%,6.97,-2.6%,7.29,+4.6%,8.49,+16.5%,9.964,+17.4%,12.474,+25.2%,177.39,14.2,+79.0%,-4.9%,-6.1%,+88.1%
