Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,26.268,27.69,+5.4%,27.69,+0.0%,27.69,+0.0%,428.76,15.5,+5.4%,-8.2%,+9.3%,+6.7%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.175,30.316,+7.6%,30.204,-0.4%,29.48,-2.4%,428.76,14.5,+4.6%,-8.2%,+9.3%,+6.7%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.414,33.303,+6.0%,33.158,-0.4%,32.091,-3.2%,428.76,13.4,+2.2%,-8.2%,+9.3%,+6.7%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.568,37.671,+5.9%,37.137,-1.4%,35.149,-5.4%,428.76,12.2,-1.2%,-8.2%,+9.3%,+6.7%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,14.829,14.947,+0.8%,14.947,+0.0%,14.947,+0.0%,396.59,26.5,+0.8%,+20.1%,+5.2%,+32.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,16.302,16.892,+3.6%,17.157,+1.6%,18.56,+8.2%,396.59,21.4,+13.9%,+20.1%,+5.2%,+32.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,19.024,17.563,-7.7%,19.693,+12.1%,21.465,+9.0%,396.59,18.5,+12.8%,+20.1%,+5.2%,+32.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,23.98,21.988,-8.3%,23.038,+4.8%,24.824,+7.8%,396.59,16.0,+3.5%,+20.1%,+5.2%,+32.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.665,10.239,+5.9%,10.239,+0.0%,10.239,+0.0%,417.41,40.8,+5.9%,+37.4%,+1.2%,+74.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,10.945,14.306,+30.7%,15.609,+9.1%,16.78,+7.5%,417.41,24.9,+53.3%,+37.4%,+1.2%,+74.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,12.894,17.598,+36.5%,19.575,+11.2%,21.966,+12.2%,417.41,19.0,+70.4%,+37.4%,+1.2%,+74.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.296,20.653,+35.0%,23.52,+13.9%,26.977,+14.7%,417.41,15.5,+76.4%,+37.4%,+1.2%,+74.9%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.549,4.247,-6.6%,4.247,+0.0%,4.247,+0.0%,356.74,84.0,-6.6%,+3.1%,-15.5%,+19.7%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.044,8.151,+34.9%,9.019,+10.6%,9.301,+3.1%,356.74,38.4,+53.9%,+3.1%,-15.5%,+19.7%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.957,11.928,+49.9%,15.911,+33.4%,17.031,+7.0%,356.74,20.9,+114.0%,+3.1%,-15.5%,+19.7%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,,15.358,,19.97,+30.0%,23.475,+17.6%,356.74,15.2,,+3.1%,-15.5%,+19.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.189,4.626,+10.4%,4.626,+0.0%,4.626,+0.0%,213.05,46.1,+10.4%,+14.2%,-0.8%,+17.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.753,8.114,+41.0%,9.247,+14.0%,9.554,+3.3%,213.05,22.3,+66.1%,+14.2%,-0.8%,+17.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.81,10.578,+55.3%,12.658,+19.7%,13.502,+6.7%,213.05,15.8,+98.3%,+14.2%,-0.8%,+17.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,7.4,12.223,+65.2%,14.789,+21.0%,16.302,+10.2%,213.05,13.1,+120.3%,+14.2%,-0.8%,+17.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,28.121,22.814,-18.9%,22.814,+0.0%,22.814,+0.0%,570.05,25.0,-18.9%,-13.6%,-6.9%,-24.4%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,29.873,29.564,-1.0%,32.296,+9.2%,31.585,-2.2%,570.05,18.0,+5.7%,-13.6%,-6.9%,-24.4%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,34.164,34.398,+0.7%,34.909,+1.5%,33.78,-3.2%,570.05,16.9,-1.1%,-13.6%,-6.9%,-24.4%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,39.98,40.493,+1.3%,40.283,-0.5%,38.706,-3.9%,570.05,14.7,-3.2%,-13.6%,-6.9%,-24.4%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.604,7.102,+7.5%,7.102,+0.0%,7.102,+0.0%,261.06,36.8,+7.5%,+13.1%,-1.6%,+14.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.577,7.8,+2.9%,8.787,+12.7%,12.709,+44.6%,261.06,20.5,+67.7%,+13.1%,-1.6%,+14.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,9.279,9.399,+1.3%,9.986,+6.2%,10.761,+7.8%,261.06,24.3,+16.0%,+13.1%,-1.6%,+14.1%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.925,11.611,+6.3%,12.97,+11.7%,14.047,+8.3%,261.06,18.6,+28.6%,+13.1%,-1.6%,+14.1%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,19.793,19.774,-0.1%,19.774,+0.0%,19.774,+0.0%,356.69,18.0,-0.1%,+10.7%,+16.3%,+19.5%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,20.535,21.596,+5.2%,22.324,+3.4%,24.897,+11.5%,356.69,14.3,+21.2%,+10.7%,+16.3%,+19.5%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.768,23.215,+6.6%,23.462,+1.1%,25.162,+7.2%,356.69,14.2,+15.6%,+10.7%,+16.3%,+19.5%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,,25.585,,25.819,+0.9%,27.453,+6.3%,356.69,13.0,,+10.7%,+16.3%,+19.5%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2025,7.788,7.955,+2.1%,7.955,+0.0%,7.955,+0.0%,133.18,16.7,+2.1%,-8.0%,+2.5%,-0.9%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2026,9.309,9.262,-0.5%,8.942,-3.5%,8.755,-2.1%,133.18,15.2,-6.0%,-8.0%,+2.5%,-0.9%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2027,11.16,10.888,-2.4%,10.722,-1.5%,10.698,-0.2%,133.18,12.4,-4.1%,-8.0%,+2.5%,-0.9%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2028,12.62,12.771,+1.2%,12.442,-2.6%,12.451,+0.1%,133.18,10.7,-1.3%,-8.0%,+2.5%,-0.9%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2025,17.447,17.902,+2.6%,17.902,+0.0%,17.902,+0.0%,222.09,12.4,+2.6%,+3.7%,+11.7%,-4.0%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2026,16.367,16.198,-1.0%,16.293,+0.6%,17.838,+9.5%,222.09,12.5,+9.0%,+3.7%,+11.7%,-4.0%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2027,16.747,16.201,-3.3%,16.287,+0.5%,16.24,-0.3%,222.09,13.7,-3.0%,+3.7%,+11.7%,-4.0%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2028,17.653,16.146,-8.5%,16.619,+2.9%,16.148,-2.8%,222.09,13.8,-8.5%,+3.7%,+11.7%,-4.0%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2025,1.043,1.028,-1.4%,1.028,+0.0%,1.028,+0.0%,75.77,73.7,-1.4%,-10.2%,+8.0%,+1.8%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2026,1.407,1.459,+3.7%,1.508,+3.4%,1.692,+12.2%,75.77,44.8,+20.3%,-10.2%,+8.0%,+1.8%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2027,1.968,1.952,-0.8%,2.046,+4.8%,2.297,+12.3%,75.77,33.0,+16.7%,-10.2%,+8.0%,+1.8%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2028,2.664,2.541,-4.6%,2.616,+3.0%,2.753,+5.2%,75.77,27.5,+3.3%,-10.2%,+8.0%,+1.8%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2025,8.966,9.394,+4.8%,9.394,+0.0%,9.394,+0.0%,310.54,33.1,+4.8%,-53.9%,-39.6%,-33.8%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2026,13.235,15.331,+15.8%,15.889,+3.6%,15.751,-0.9%,310.54,19.7,+19.0%,-53.9%,-39.6%,-33.8%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2027,16.216,20.223,+24.7%,21.089,+4.3%,20.468,-2.9%,310.54,15.2,+26.2%,-53.9%,-39.6%,-33.8%
APP,Portfolio,,Communication Services,Media & Entertainment,Adj,Dec,EPS,CY2028,20.081,25.685,+27.9%,26.737,+4.1%,25.858,-3.3%,310.54,12.0,+28.8%,-53.9%,-39.6%,-33.8%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2025,7.665,7.941,+3.6%,7.941,+0.0%,7.941,+0.0%,246.78,31.1,+3.6%,+10.5%,+55.7%,-13.9%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2026,8.339,8.592,+3.0%,8.882,+3.4%,9.064,+2.0%,246.78,27.2,+8.7%,+10.5%,+55.7%,-13.9%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2027,9.838,9.556,-2.9%,9.85,+3.1%,10.034,+1.9%,246.78,24.6,+2.0%,+10.5%,+55.7%,-13.9%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2028,11.037,10.821,-2.0%,11.155,+3.1%,11.334,+1.6%,246.78,21.8,+2.7%,+10.5%,+55.7%,-13.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2025,29.5,29.52,+0.1%,29.52,+0.0%,29.52,+0.0%,1137.14,38.5,+0.1%,-32.7%,-9.7%,-19.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2026,35.344,41.987,+18.8%,43.002,+2.4%,43.214,+0.5%,1137.14,26.3,+22.3%,-32.7%,-9.7%,-19.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2027,43.375,53.2,+22.7%,54.016,+1.5%,52.911,-2.0%,1137.14,21.5,+22.0%,-32.7%,-9.7%,-19.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2028,52.884,63.229,+19.6%,64.989,+2.8%,63.642,-2.1%,1137.14,17.9,+20.3%,-32.7%,-9.7%,-19.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,9.933,10.598,+6.7%,10.598,+0.0%,10.598,+0.0%,343.34,32.4,+6.7%,+9.4%,-10.8%,+65.1%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,10.636,11.602,+9.1%,14.289,+23.2%,20.648,+44.5%,343.34,16.6,+94.1%,+9.4%,-10.8%,+65.1%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,12.037,13.501,+12.2%,14.641,+8.4%,15.051,+2.8%,343.34,22.8,+25.0%,+9.4%,-10.8%,+65.1%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,13.914,15.603,+12.1%,17.279,+10.7%,18.021,+4.3%,343.34,19.1,+29.5%,+9.4%,-10.8%,+65.1%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2025,7.344,7.42,+1.0%,7.42,+0.0%,7.42,+0.0%,932.97,125.7,+1.0%,+226.9%,+4.1%,+700.8%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2026,12.211,32.585,+166.8%,59.641,+83.0%,73.389,+23.1%,932.97,12.7,+501.0%,+226.9%,+4.1%,+700.8%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2027,14.793,43.337,+193.0%,106.244,+145.2%,155.329,+46.2%,932.97,6.0,+950.0%,+226.9%,+4.1%,+700.8%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2028,17.262,45.276,+162.3%,103.077,+127.7%,174.665,+69.5%,932.97,5.3,+911.8%,+226.9%,+4.1%,+700.8%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2025,1.709,2.066,+20.9%,2.066,+0.0%,2.066,+0.0%,112.09,54.3,+20.9%,-0.9%,+51.3%,+3.0%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2026,2.081,2.373,+14.0%,1.89,-20.4%,2.13,+12.7%,112.09,52.6,+2.4%,-0.9%,+51.3%,+3.0%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2027,2.319,2.846,+22.7%,2.558,-10.1%,2.86,+11.8%,112.09,39.2,+23.3%,-0.9%,+51.3%,+3.0%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2028,2.17,3.486,+60.6%,2.965,-14.9%,3.537,+19.3%,112.09,31.7,+63.0%,-0.9%,+51.3%,+3.0%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2025,36.975,36.616,-1.0%,36.616,+0.0%,36.616,+0.0%,1192.6,32.6,-1.0%,-10.3%,-2.7%,-9.8%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2026,42.709,39.002,-8.7%,39.865,+2.2%,41.114,+3.1%,1192.6,29.0,-3.7%,-10.3%,-2.7%,-9.8%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2027,49.184,45.707,-7.1%,47.104,+3.1%,48.483,+2.9%,1192.6,24.6,-1.4%,-10.3%,-2.7%,-9.8%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,EPS,CY2028,52.7,52.548,-0.3%,54.407,+3.5%,54.789,+0.7%,1192.6,21.8,+4.0%,-10.3%,-2.7%,-9.8%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2025,6.235,6.907,+10.8%,6.907,+0.0%,6.907,+0.0%,349.54,50.6,+10.8%,+13.5%,+11.1%,+27.6%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2026,7.088,7.878,+11.1%,8.018,+1.8%,8.463,+5.6%,349.54,41.3,+19.4%,+13.5%,+11.1%,+27.6%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2027,8.203,8.724,+6.4%,9.179,+5.2%,9.608,+4.7%,349.54,36.4,+17.1%,+13.5%,+11.1%,+27.6%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,EPS,CY2028,9.506,9.818,+3.3%,10.426,+6.2%,10.815,+3.7%,349.54,32.3,+13.8%,+13.5%,+11.1%,+27.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2025,4.012,4.012,+0.0%,4.012,+0.0%,4.012,+0.0%,314.66,78.4,+0.0%,+83.8%,-2.5%,+203.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2026,4.419,5.289,+19.7%,5.623,+6.3%,5.642,+0.3%,314.66,55.8,+27.7%,+83.8%,-2.5%,+203.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2027,4.95,6.978,+41.0%,7.886,+13.0%,9.334,+18.4%,314.66,33.7,+88.6%,+83.8%,-2.5%,+203.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,EPS,CY2028,5.569,7.792,+39.9%,9.358,+20.1%,11.682,+24.8%,314.66,26.9,+109.8%,+83.8%,-2.5%,+203.6%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2025,4.212,5.084,+20.7%,5.084,+0.0%,5.084,+0.0%,233.5,45.9,+20.7%,+3.1%,+51.6%,-6.1%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2026,5.653,5.344,-5.5%,5.025,-6.0%,5.782,+15.1%,233.5,40.4,+2.3%,+3.1%,+51.6%,-6.1%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2027,6.788,7.091,+4.5%,6.756,-4.7%,7.319,+8.3%,233.5,31.9,+7.8%,+3.1%,+51.6%,-6.1%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2028,8.017,8.101,+1.0%,8.945,+10.4%,9.739,+8.9%,233.5,24.0,+21.5%,+3.1%,+51.6%,-6.1%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2025,3.626,2.49,-31.3%,2.49,+0.0%,2.49,+0.0%,80.35,32.3,-31.3%,-1.7%,+14.6%,-16.8%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2026,4.237,3.344,-21.1%,3.316,-0.8%,3.3,-0.5%,80.35,24.3,-22.1%,-1.7%,+14.6%,-16.8%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2027,4.938,4.42,-10.5%,4.338,-1.9%,4.478,+3.2%,80.35,17.9,-9.3%,-1.7%,+14.6%,-16.8%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2028,5.7,5.432,-4.7%,5.381,-0.9%,5.556,+3.3%,80.35,14.5,-2.5%,-1.7%,+14.6%,-16.8%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2025,22.034,22.806,+3.5%,22.806,+0.0%,22.806,+0.0%,1233.66,54.1,+3.5%,+14.8%,+15.9%,+67.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2026,29.504,32.791,+11.1%,35.995,+9.8%,35.801,-0.5%,1233.66,34.5,+21.3%,+14.8%,+15.9%,+67.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2027,35.73,39.927,+11.7%,44.245,+10.8%,46.112,+4.2%,1233.66,26.8,+29.1%,+14.8%,+15.9%,+67.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2028,42.003,47.719,+13.6%,49.865,+4.5%,53.14,+6.6%,1233.66,23.2,+26.5%,+14.8%,+15.9%,+67.6%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2025,13.403,13.403,+0.0%,13.403,+0.0%,13.403,+0.0%,491.71,36.7,+0.0%,+1.7%,+18.2%,-2.1%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2026,15.538,16.734,+7.7%,17.278,+3.3%,17.308,+0.2%,491.71,28.4,+11.4%,+1.7%,+18.2%,-2.1%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2027,18.216,19.012,+4.4%,19.385,+2.0%,19.776,+2.0%,491.71,24.9,+8.6%,+1.7%,+18.2%,-2.1%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2028,21.247,22.355,+5.2%,22.721,+1.6%,23.488,+3.4%,491.71,20.9,+10.5%,+1.7%,+18.2%,-2.1%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2025,10.711,10.723,+0.1%,10.723,+0.0%,10.723,+0.0%,384.14,35.8,+0.1%,+9.5%,+17.7%,+9.4%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2026,12.756,12.648,-0.8%,12.787,+1.1%,12.584,-1.6%,384.14,30.5,-1.3%,+9.5%,+17.7%,+9.4%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2027,14.452,14.454,+0.0%,14.773,+2.2%,14.89,+0.8%,384.14,25.8,+3.0%,+9.5%,+17.7%,+9.4%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,EPS,CY2028,16.164,16.346,+1.1%,16.783,+2.7%,16.98,+1.2%,384.14,22.6,+5.0%,+9.5%,+17.7%,+9.4%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2025,5.028,5.343,+6.3%,5.343,+0.0%,5.343,+0.0%,143.41,26.8,+6.3%,-7.0%,+21.4%,-16.3%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2026,6.516,6.403,-1.7%,5.953,-7.0%,5.956,+0.1%,143.41,24.1,-8.6%,-7.0%,+21.4%,-16.3%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2027,8.114,7.962,-1.9%,7.656,-3.8%,7.425,-3.0%,143.41,19.3,-8.5%,-7.0%,+21.4%,-16.3%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2028,8.12,8.623,+6.2%,8.217,-4.7%,8.165,-0.6%,143.41,17.6,+0.6%,-7.0%,+21.4%,-16.3%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2025,8.876,9.107,+2.6%,9.107,+0.0%,9.107,+0.0%,213.78,23.5,+2.6%,-0.2%,+30.9%,-6.3%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2026,10.288,10.711,+4.1%,10.442,-2.5%,10.46,+0.2%,213.78,20.4,+1.7%,-0.2%,+30.9%,-6.3%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2027,11.892,12.527,+5.3%,12.338,-1.5%,12.364,+0.2%,213.78,17.3,+4.0%,-0.2%,+30.9%,-6.3%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2028,13.449,14.494,+7.8%,14.189,-2.1%,14.294,+0.7%,213.78,15.0,+6.3%,-0.2%,+30.9%,-6.3%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2025,8.023,8.057,+0.4%,8.057,+0.0%,8.057,+0.0%,329.31,40.9,+0.4%,+14.6%,+1.7%,+19.6%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2026,9.026,9.026,+0.0%,9.007,-0.2%,9.026,+0.2%,329.31,36.5,+0.0%,+14.6%,+1.7%,+19.6%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2027,10.425,10.359,-0.6%,10.37,+0.1%,10.453,+0.8%,329.31,31.5,+0.3%,+14.6%,+1.7%,+19.6%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,EPS,CY2028,12.19,12.0,-1.6%,11.949,-0.4%,12.013,+0.5%,329.31,27.4,-1.5%,+14.6%,+1.7%,+19.6%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2025,2.02,2.141,+6.0%,2.141,+0.0%,2.141,+0.0%,98.19,45.9,+6.0%,+52.7%,+18.5%,+55.1%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2026,2.19,2.476,+13.1%,2.501,+1.0%,2.713,+8.5%,98.19,36.2,+23.9%,+52.7%,+18.5%,+55.1%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2027,2.425,2.745,+13.2%,2.848,+3.8%,3.177,+11.6%,98.19,30.9,+31.0%,+52.7%,+18.5%,+55.1%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,EPS,CY2028,2.92,3.16,+8.2%,3.248,+2.8%,3.689,+13.6%,98.19,26.6,+26.3%,+52.7%,+18.5%,+55.1%
