Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.263,27.438,+8.6%,27.69,+0.9%,27.69,+0.0%,435.19,15.7,+9.6%,-6.8%,-12.5%,+23.0%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,27.973,29.587,+5.8%,30.182,+2.0%,30.2,+0.1%,435.19,14.4,+8.0%,-6.8%,-12.5%,+23.0%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.604,32.868,+4.0%,33.23,+1.1%,33.133,-0.3%,435.19,13.1,+4.8%,-6.8%,-12.5%,+23.0%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.838,36.79,+2.7%,37.441,+1.8%,37.171,-0.7%,435.19,11.7,+3.7%,-6.8%,-12.5%,+23.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,24.776,14.944,-39.7%,14.947,+0.0%,14.947,+0.0%,379.98,25.4,-39.7%,+15.1%,+37.8%,-0.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,28.729,16.426,-42.8%,16.819,+2.4%,17.194,+2.2%,379.98,22.1,-40.2%,+15.1%,+37.8%,-0.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,32.675,19.435,-40.5%,18.443,-5.1%,18.662,+1.2%,379.98,20.4,-42.9%,+15.1%,+37.8%,-0.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,37.36,23.577,-36.9%,22.078,-6.4%,22.868,+3.6%,379.98,16.6,-38.8%,+15.1%,+37.8%,-0.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.904,10.33,+4.3%,10.239,-0.9%,10.239,+0.0%,411.68,40.2,+3.4%,+35.5%,+15.8%,+133.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.585,12.099,+4.4%,13.994,+15.7%,15.582,+11.3%,411.68,26.4,+34.5%,+35.5%,+15.8%,+133.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.439,14.415,+7.3%,17.389,+20.6%,19.471,+12.0%,411.68,21.1,+44.9%,+35.5%,+15.8%,+133.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,13.793,16.458,+19.3%,20.004,+21.5%,23.257,+16.3%,411.68,17.7,+68.6%,+35.5%,+15.8%,+133.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.646,4.259,-8.3%,4.247,-0.3%,4.247,+0.0%,430.0,101.2,-8.6%,+24.2%,+25.0%,+106.5%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.026,6.531,+8.4%,8.085,+23.8%,9.122,+12.8%,430.0,47.1,+51.4%,+24.2%,+25.0%,+106.5%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,6.86,9.175,+33.7%,11.862,+29.3%,15.612,+31.6%,430.0,27.5,+127.6%,+24.2%,+25.0%,+106.5%
