Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.264,27.696,+9.6%,27.69,-0.0%,27.69,+0.0%,423.0,15.3,+9.6%,-9.4%,-20.9%,+9.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,27.973,29.753,+6.4%,30.253,+1.7%,30.217,-0.1%,423.0,14.0,+8.0%,-9.4%,-20.9%,+9.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.604,33.021,+4.5%,33.246,+0.7%,33.196,-0.2%,423.0,12.7,+5.0%,-9.4%,-20.9%,+9.2%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.838,36.79,+2.7%,37.671,+2.4%,37.286,-1.0%,423.0,11.3,+4.0%,-9.4%,-20.9%,+9.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,22.829,14.942,-34.5%,14.947,+0.0%,14.947,+0.0%,393.85,26.3,-34.5%,+19.3%,+36.2%,+34.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,26.456,16.382,-38.1%,16.892,+3.1%,17.303,+2.4%,393.85,22.8,-34.6%,+19.3%,+36.2%,+34.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,29.776,19.309,-35.2%,18.373,-4.8%,18.678,+1.7%,393.85,21.1,-37.3%,+19.3%,+36.2%,+34.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,34.825,23.558,-32.4%,21.988,-6.7%,22.895,+4.1%,393.85,17.2,-34.3%,+19.3%,+36.2%,+34.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.883,10.268,+3.9%,10.239,-0.3%,10.239,+0.0%,404.35,39.5,+3.6%,+33.1%,+11.0%,+108.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.542,12.039,+4.3%,14.11,+17.2%,15.542,+10.1%,404.35,26.0,+34.7%,+33.1%,+11.0%,+108.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.337,14.354,+7.6%,17.511,+22.0%,19.438,+11.0%,404.35,20.8,+45.7%,+33.1%,+11.0%,+108.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,14.803,16.458,+11.2%,20.473,+24.4%,23.234,+13.5%,404.35,17.4,+57.0%,+33.1%,+11.0%,+108.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.646,4.255,-8.4%,4.247,-0.2%,4.247,+0.0%,425.19,100.1,-8.6%,+22.9%,+27.9%,+86.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.026,6.566,+9.0%,8.088,+23.2%,9.151,+13.1%,425.19,46.5,+51.9%,+22.9%,+27.9%,+86.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,6.86,9.325,+35.9%,11.866,+27.2%,15.846,+33.5%,425.19,26.8,+131.0%,+22.9%,+27.9%,+86.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,,12.468,,15.592,+25.1%,19.31,+23.8%,425.19,22.0,,+22.9%,+27.9%,+86.0%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.14,4.435,+7.1%,4.615,+4.1%,4.626,+0.2%,225.32,48.7,+11.7%,+20.8%,+21.8%,+66.4%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.34,6.616,+23.9%,7.412,+12.0%,8.239,+11.2%,225.32,27.3,+54.3%,+20.8%,+21.8%,+66.4%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.065,8.187,+35.0%,9.429,+15.2%,11.069,+17.4%,225.32,20.4,+82.5%,+20.8%,+21.8%,+66.4%
