Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,435.19,,,,-6.8%,-12.5%,+23.0%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,379.98,,,,+15.1%,+37.8%,-0.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,411.68,,,,+35.5%,+15.8%,+133.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,430.0,,,,+24.2%,+25.0%,+106.5%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,215.2,,,,+15.4%,+13.2%,+84.5%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,609.63,,,,-7.6%,-10.0%,+2.9%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,272.68,,,,+18.1%,+30.6%,+41.2%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,302.1,,,,-6.2%,-6.2%,+19.4%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,133.2,,,,-8.0%,-0.6%,+0.6%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,194.0,,,,-9.4%,-3.7%,-27.5%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,77.94,,,,-7.7%,-5.3%,+45.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,468.55,,,,-30.5%,+1.8%,+42.6%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,166.34,,,,-25.5%,-9.9%,-29.8%
FICO,Watchlist,,Information Technology,Software & Services,Adj,Sep,1126.0,,,,-33.4%,-18.0%,-46.1%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,397.05,,,,+26.5%,+22.4%,+157.2%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,746.81,,,,+161.7%,+94.7%,+769.8%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,77.03,,,,-31.9%,-11.0%,+41.0%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1215.08,,,,-8.6%,-6.5%,-5.5%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,297.15,,,,-3.5%,-6.2%,+38.2%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,294.05,,,,+71.8%,+28.2%,+290.2%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,163.93,,,,-27.6%,-12.0%,-10.7%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,75.45,,,,-7.7%,+2.1%,-8.9%
