Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.299,27.696,+9.5%,27.69,-0.0%,27.69,+0.0%,394.07,14.2,+9.5%,-15.6%,-26.0%,+4.6%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.01,29.753,+6.2%,30.316,+1.9%,30.204,-0.4%,394.07,13.0,+7.8%,-15.6%,-26.0%,+4.6%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.604,33.021,+4.5%,33.303,+0.9%,33.158,-0.4%,394.07,11.9,+4.9%,-15.6%,-26.0%,+4.6%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,35.838,36.79,+2.7%,37.671,+2.4%,37.137,-1.4%,394.07,10.6,+3.6%,-15.6%,-26.0%,+4.6%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,21.933,14.948,-31.8%,14.947,-0.0%,14.947,+0.0%,388.47,26.0,-31.9%,+17.7%,+34.0%,+30.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,25.551,16.41,-35.8%,16.892,+2.9%,17.178,+1.7%,388.47,22.6,-32.8%,+17.7%,+34.0%,+30.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,26.984,19.336,-28.3%,18.373,-5.0%,18.752,+2.1%,388.47,20.7,-30.5%,+17.7%,+34.0%,+30.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,32.685,23.685,-27.5%,21.988,-7.2%,22.939,+4.3%,388.47,16.9,-29.8%,+17.7%,+34.0%,+30.9%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,9.866,10.228,+3.7%,10.239,+0.1%,10.239,+0.0%,404.52,39.5,+3.8%,+33.1%,+9.2%,+106.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.403,12.011,+5.3%,14.157,+17.9%,15.217,+7.5%,404.52,26.6,+33.4%,+33.1%,+9.2%,+106.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.202,14.302,+8.3%,17.563,+22.8%,19.053,+8.5%,404.52,21.2,+44.3%,+33.1%,+9.2%,+106.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,14.983,16.458,+9.8%,20.626,+25.3%,22.606,+9.6%,404.52,17.9,+50.9%,+33.1%,+9.2%,+106.2%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.646,4.246,-8.6%,4.247,+0.0%,4.247,+0.0%,414.14,97.5,-8.6%,+19.7%,+24.5%,+79.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.026,6.545,+8.6%,8.155,+24.6%,9.088,+11.4%,414.14,45.6,+50.8%,+19.7%,+24.5%,+79.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,6.86,9.365,+36.5%,11.968,+27.8%,15.679,+31.0%,414.14,26.4,+128.6%,+19.7%,+24.5%,+79.6%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,,12.468,,15.592,+25.1%,19.286,+23.7%,414.14,21.5,,+19.7%,+24.5%,+79.6%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.096,4.59,+12.1%,4.614,+0.5%,4.626,+0.3%,215.33,46.5,+12.9%,+15.5%,+13.4%,+62.1%
