Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,382.19,,,,-18.1%,-11.6%,+11.9%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,420.74,,,,+27.5%,+18.5%,+51.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,403.41,,,,+32.7%,+0.2%,+67.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,381.92,,,,+10.3%,-9.7%,+32.3%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,206.84,,,,+10.9%,-0.7%,+19.1%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,595.19,,,,-9.8%,-11.8%,-16.7%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,232.11,,,,+0.6%,-12.1%,-0.1%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,353.21,,,,+9.6%,+14.6%,+19.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,122.61,,,,-15.3%,-1.3%,-19.1%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,213.83,,,,-0.2%,+6.4%,-8.1%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,60.46,,,,-28.4%,-26.1%,-7.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,391.98,,,,-41.8%,-12.6%,+8.9%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,186.24,,,,-16.6%,+15.6%,-36.1%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1237.37,,,,-26.8%,+23.2%,-19.4%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,319.09,,,,+1.7%,-6.8%,+65.2%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,920.95,,,,+222.7%,+85.4%,+724.3%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,94.91,,,,-16.1%,+12.0%,-6.9%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1236.71,,,,-7.0%,+7.7%,-17.4%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,353.73,,,,+14.8%,+24.3%,+32.0%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,305.21,,,,+78.3%,+14.0%,+212.1%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,172.91,,,,-23.7%,-2.2%,-29.0%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,65.94,,,,-19.3%,-11.7%,-27.4%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1196.03,,,,+11.3%,+35.3%,+48.5%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,381.7,,,,-21.1%,-10.1%,-25.3%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,355.74,,,,+1.4%,+15.0%,+0.5%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,130.0,,,,-15.7%,+6.9%,-27.0%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,177.46,,,,-17.2%,-1.5%,-21.5%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,324.97,,,,+13.1%,-3.2%,+21.5%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,91.74,,,,+42.7%,+19.7%,+41.8%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,262.15,,,,+33.0%,+26.6%,+36.8%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,935.03,,,,+8.4%,-7.5%,+0.1%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,313.03,,,,-30.4%,-16.8%,+2.5%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,568.26,,,,-1.9%,+21.0%,+19.6%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,202.84,,,,-16.3%,+6.0%,-4.0%
AON,Watchlist,,Financials,Insurance,Adj,Dec,361.7,,,,+2.5%,+12.6%,+1.4%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,461.7,,,,-28.4%,-2.1%,-1.8%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,Adj,Jun,851.69,,,,+209.3%,+45.3%,+457.6%
SPX,Indices,Indices,,,Adj,Dec,7411.98,,,,+8.3%,+3.4%,+16.5%
QQQ,Indices,Indices,,,GAAP,Dec,684.23,,,,+11.4%,+3.1%,+21.1%
IWM,Indices,Indices,,,Adj,Dec,291.17,,,,+18.3%,+5.2%,+30.2%
SOX,Indices,Indices,,,Adj,Dec,11818.89,,,,+66.9%,+12.4%,+109.4%
IGV,Indices,Indices,,,Adj,Dec,87.98,,,,-16.8%,+3.3%,-21.5%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,151.3,,,,+5.2%,+9.6%,+35.1%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,539.66,,,,-5.5%,+7.0%,-4.2%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,745000.0,,,,-1.3%,+5.7%,+2.7%
CSU,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,2667.24,,,,-19.4%,+10.6%,-45.0%
DHR,Extended,Uncategorized,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,191.5,,,,-16.3%,+8.0%,-5.6%
AAPL,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,GAAP,Sep,333.02,,,,+22.5%,+22.9%,+55.8%
NFLX,Extended,Uncategorized,Communication Services,Media & Entertainment,GAAP,Dec,70.09,,,,-25.2%,-24.2%,-40.6%
QCOM,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,Adj,Sep,166.97,,,,-2.4%,+12.2%,+5.1%
UMG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,18.48,,,,-16.9%,-7.3%,-34.3%
ASML,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,1563.0,,,,+69.6%,+25.1%,+153.8%
AMAT,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,536.25,,,,+108.7%,+28.6%,+185.1%
KLAC,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,210.52,,,,+73.3%,+8.8%,+132.8%
KKR,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,99.36,,,,-22.1%,-2.4%,-33.8%
BAM,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,46.35,,,,-11.5%,-2.6%,-26.6%
ARES,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,126.51,,,,-21.7%,+9.8%,-30.6%
OWL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,9.45,,,,-36.7%,+2.9%,-53.5%
CG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,45.4,,,,-23.2%,-6.0%,-27.1%
BN,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,41.67,,,,-9.2%,-8.4%,-7.3%
TPG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,42.83,,,,-32.9%,-1.8%,-25.6%
BEP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,33.12,,,,+22.8%,-3.1%,+20.9%
BIP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,40.88,,,,+17.7%,+12.9%,+26.5%
MAR,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,374.43,,,,+20.7%,+2.0%,+37.2%
DPZ,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,332.97,,,,-20.1%,-9.5%,-30.1%
CMG,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,31.79,,,,-14.1%,-7.1%,-30.5%
MCO,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,471.5,,,,-7.7%,+3.4%,-8.1%
SPGI,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,426.4,,,,-13.7%,+3.2%,-15.1%
MSCI,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,550.79,,,,-4.0%,-7.1%,+1.4%
CSGP,Extended,Uncategorized,Real Estate,Real Estate Management & Devel,Adj,Dec,27.66,,,,-58.9%,-24.1%,-70.2%
LPLA,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,328.7,,,,-8.0%,+2.6%,-12.8%
SCHW,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,101.97,,,,+2.1%,+15.2%,+5.7%
CRM,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jan,163.66,,,,-38.2%,-8.1%,-38.9%
WDAY,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jan,135.34,,,,-37.0%,+13.0%,-42.9%
ADBE,Extended,Uncategorized,Information Technology,Software & Services,Adj,Nov,225.11,,,,-35.7%,-8.3%,-39.4%
SHOP,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,113.75,,,,-29.3%,-9.6%,-6.8%
GWRE,Extended,Uncategorized,Information Technology,Software & Services,Adj,Jul,138.23,,,,-31.2%,-1.0%,-38.2%
NOW,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,98.78,,,,-35.5%,+9.5%,-50.4%
ELV,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,377.68,,,,+7.7%,+9.5%,+34.7%
ISRG,Extended,Uncategorized,Health Care,Health Care Equipment & Servic,Adj,Dec,337.5,,,,-40.4%,-30.0%,-30.9%
BLDR,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,72.86,,,,-29.2%,-19.1%,-45.1%
FERG,Extended,Uncategorized,Industrials,Capital Goods,Adj,Jul,230.67,,,,+3.6%,-12.5%,+3.1%
CRH,Extended,Uncategorized,Materials,Materials,Adj,Dec,99.87,,,,-20.0%,-15.4%,+2.8%
FND,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,53.75,,,,-11.7%,+5.2%,-31.7%
WMT,Extended,Uncategorized,Consumer Staples,Consumer Staples Distribution,GAAP,Jan,109.47,,,,-1.7%,-15.7%,+13.3%
PM,Extended,Uncategorized,Consumer Staples,"Food, Beverage & Tobacco",GAAP,Dec,193.0,,,,+20.3%,+17.5%,+19.8%
CP,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,92.36,,,,+25.4%,+6.3%,+21.3%
CNR,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,182.91,,,,+34.7%,+16.7%,+40.5%
UNP,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,307.32,,,,+32.9%,+14.4%,+39.4%
CSX,Extended,Uncategorized,Industrials,Transportation,Adj,Dec,53.23,,,,+46.8%,+17.2%,+52.1%
NVR,Extended,Uncategorized,Consumer Discretionary,Consumer Durables & Apparel,Adj,Dec,6414.67,,,,-12.0%,-1.4%,-17.6%
PDD,Extended,Uncategorized,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,82.66,,,,-27.1%,-15.7%,-30.1%
MSI,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,Adj,Dec,417.83,,,,+9.0%,-4.7%,-1.6%
